category	K	k	n	N	expected	fold	p	fdr	label	id	family	threshold
http://purl.obolibrary.org/obo/GO_1904263	14	13	1560	2160	10.11	1.29	0.06645403068021441	0.9999561234632744	positive regulation of TORC1 signaling	GO_1904263	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0009636	14	13	1560	2160	10.11	1.29	0.06645403068021441	0.9999561234632744	response to toxic substance	GO_0009636	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0070301	14	13	1560	2160	10.11	1.29	0.06645403068021441	0.9999561234632744	cellular response to hydrogen peroxide	GO_0070301	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0051607	33	28	1560	2160	23.83	1.17	0.06993851781181314	0.9999561234632744	defense response to virus	GO_0051607	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0090398	8	8	1560	2160	5.78	1.38	0.07365385744757333	0.9999561234632744	cellular senescence	GO_0090398	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0032024	8	8	1560	2160	5.78	1.38	0.07365385744757333	0.9999561234632744	positive regulation of insulin secretion	GO_0032024	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0045596	8	8	1560	2160	5.78	1.38	0.07365385744757333	0.9999561234632744	negative regulation of cell differentiation	GO_0045596	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0045945	8	8	1560	2160	5.78	1.38	0.07365385744757333	0.9999561234632744	positive regulation of transcription by RNA polymerase III	GO_0045945	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0044818	8	8	1560	2160	5.78	1.38	0.07365385744757333	0.9999561234632744	mitotic G2/M transition checkpoint	GO_0044818	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006120	8	8	1560	2160	5.78	1.38	0.07365385744757333	0.9999561234632744	mitochondrial electron transport, NADH to ubiquinone	GO_0006120	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0045444	8	8	1560	2160	5.78	1.38	0.07365385744757333	0.9999561234632744	fat cell differentiation	GO_0045444	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0008210	8	8	1560	2160	5.78	1.38	0.07365385744757333	0.9999561234632744	estrogen metabolic process	GO_0008210	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006418	18	16	1560	2160	13.0	1.23	0.08642789054362664	0.9999561234632744	tRNA aminoacylation for protein translation	GO_0006418	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0051604	18	16	1560	2160	13.0	1.23	0.08642789054362664	0.9999561234632744	protein maturation	GO_0051604	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006629	165	127	1560	2160	119.17	1.07	0.09077501262341615	0.9999561234632744	lipid metabolic process	GO_0006629	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0030198	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	extracellular matrix organization	GO_0030198	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0007286	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	spermatid development	GO_0007286	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_1902459	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	positive regulation of stem cell population maintenance	GO_1902459	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0002862	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	negative regulation of inflammatory response to antigenic stimulus	GO_0002862	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0009408	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	response to heat	GO_0009408	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
