assay	gene	symbol	taxonomy	log2fc	adj_p_value	group_mean_1	group_mean_2	osd	entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/72056	1810055G02Rik	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.1887	0.00080156	10.127	8.93835	OSD-25	72056
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/72477	Tmem87b	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.54211	1.79266e-05	9.38198	7.83986	OSD-25	72477
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/73130	Tmed5	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.16167	2.38191e-05	9.61296	8.45129	OSD-25	73130
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/74008	Arsg	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.25255	4.89248e-07	8.25744	7.00489	OSD-25	74008
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/74182	Gpcpd1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.5945	0.000329533	11.3068	9.71227	OSD-25	74182
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/75985	Rab30	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.53004	0.000106862	9.93427	8.40423	OSD-25	75985
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76454	Fbxo31	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.01521	1.26288e-05	11.0235	10.0083	OSD-25	76454
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76487	Ppp1r3g	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.0089	0.0386272	9.38135	10.3902	OSD-25	76487
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/77037	Mrap	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.17977	0.000118163	9.76376	8.58399	OSD-25	77037
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/77864	Ypel2	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.17024	0.000495032	7.85706	9.0273	OSD-25	77864
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/78943	Ern1	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.15291	0.000140772	9.26285	10.4158	OSD-25	78943
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/80981	Arl4d	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.00141	0.000324631	8.76283	9.76424	OSD-25	80981
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/81004	Tbl1xr1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.36428	1.70731e-05	9.27195	7.90767	OSD-25	81004
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/81702	Ankrd17	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.08082	0.00437265	8.34328	7.26246	OSD-25	81702
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83490	Pik3ap1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.17642	1.21032e-05	10.3432	9.16674	OSD-25	83490
