disease	disease_label	phenotype	phenotype_label	mondo	hp
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001974	Leukocytosis	MONDO_0001382	HP_0001974
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002013	Vomiting	MONDO_0001382	HP_0002013
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002014	Diarrhea	MONDO_0001382	HP_0002014
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002015	Dysphagia	MONDO_0001382	HP_0002015
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002017	Nausea and vomiting	MONDO_0001382	HP_0002017
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002018	Nausea	MONDO_0001382	HP_0002018
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002027	Abdominal pain	MONDO_0001382	HP_0002027
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002036	Hiatus hernia	MONDO_0001382	HP_0002036
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002039	Anorexia	MONDO_0001382	HP_0002039
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002040	Esophageal varix	MONDO_0001382	HP_0002040
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002045	Hypothermia	MONDO_0001382	HP_0002045
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002090	Pneumonia	MONDO_0001382	HP_0002090
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002093	Respiratory insufficiency	MONDO_0001382	HP_0002093
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002094	Dyspnea	MONDO_0001382	HP_0002094
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002105	Hemoptysis	MONDO_0001382	HP_0002105
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002153	Hyperkalemia	MONDO_0001382	HP_0002153
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002202	Pleural effusion	MONDO_0001382	HP_0002202
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002240	Hepatomegaly	MONDO_0001382	HP_0002240
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002248	Hematemesis	MONDO_0001382	HP_0002248
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002249	Melena	MONDO_0001382	HP_0002249
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002253	Colonic diverticula	MONDO_0001382	HP_0002253
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002311	Incoordination	MONDO_0001382	HP_0002311
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002329	Drowsiness	MONDO_0001382	HP_0002329
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002480	Hepatic encephalopathy	MONDO_0001382	HP_0002480
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002527	Falls	MONDO_0001382	HP_0002527
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002573	Hematochezia	MONDO_0001382	HP_0002573
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002583	Colitis	MONDO_0001382	HP_0002583
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002586	Peritonitis	MONDO_0001382	HP_0002586
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002605	Hepatic necrosis	MONDO_0001382	HP_0002605
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002615	Hypotension	MONDO_0001382	HP_0002615
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002634	Arteriosclerosis	MONDO_0001382	HP_0002634
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002716	Lymphadenopathy	MONDO_0001382	HP_0002716
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002756	Pathologic fracture	MONDO_0001382	HP_0002756
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002789	Tachypnea	MONDO_0001382	HP_0002789
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002795	Abnormal respiratory system physiology	MONDO_0001382	HP_0002795
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002896	Neoplasm of the liver	MONDO_0001382	HP_0002896
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002901	Hypocalcemia	MONDO_0001382	HP_0002901
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002902	Hyponatremia	MONDO_0001382	HP_0002902
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002910	Elevated hepatic transaminase	MONDO_0001382	HP_0002910
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002917	Hypomagnesemia	MONDO_0001382	HP_0002917
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0002933	Ventral hernia	MONDO_0001382	HP_0002933
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0003115	Abnormal EKG	MONDO_0001382	HP_0003115
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0003256	Abnormality of the coagulation cascade	MONDO_0001382	HP_0003256
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0003259	Elevated circulating creatinine concentration	MONDO_0001382	HP_0003259
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0003270	Abdominal distention	MONDO_0001382	HP_0003270
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0003394	Muscle spasm	MONDO_0001382	HP_0003394
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0003493	Antinuclear antibody positivity	MONDO_0001382	HP_0003493
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0003774	Stage 5 chronic kidney disease	MONDO_0001382	HP_0003774
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0004299	Hernia of the abdominal wall	MONDO_0001382	HP_0004299
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0004326	Cachexia	MONDO_0001382	HP_0004326
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0004372	Reduced consciousness/confusion	MONDO_0001382	HP_0004372
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0004379	Abnormality of alkaline phosphatase level	MONDO_0001382	HP_0004379
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0004751	Paroxysmal ventricular tachycardia	MONDO_0001382	HP_0004751
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0004755	Supraventricular tachycardia	MONDO_0001382	HP_0004755
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0004763	Paroxysmal supraventricular tachycardia	MONDO_0001382	HP_0004763
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0004813	Post-transfusion thrombocytopenia	MONDO_0001382	HP_0004813
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0004872	Incisional hernia	MONDO_0001382	HP_0004872
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0005145	Coronary artery stenosis	MONDO_0001382	HP_0005145
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0005180	Tricuspid regurgitation	MONDO_0001382	HP_0005180
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0005576	Tubulointerstitial fibrosis	MONDO_0001382	HP_0005576
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0005943	Respiratory arrest	MONDO_0001382	HP_0005943
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0006554	Acute hepatic failure	MONDO_0001382	HP_0006554
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0006562	Viral hepatitis	MONDO_0001382	HP_0006562
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0006580	Portal fibrosis	MONDO_0001382	HP_0006580
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0006688	Paroxysmal tachycardia	MONDO_0001382	HP_0006688
