hEntrez,humanSymbol,n_assays,n_studies,n_tissues,tissues,studies,organisms,n_up,n_down,max_abs_log2fc,min_adj_p,mean_log2fc,ambiguous,consistent_direction,net_direction
25819,NOCT,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.199,2.52116e-08,-1.1218000000000001,False,consistent,down
2657,GDF1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.114,9.53711e-06,-1.0767666666666666,False,consistent,down
27232,GNMT|CNPY3-GNMT,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.9458,8.71872e-09,1.8594666666666668,False,consistent,up
29953,TRHDE,3,3,3,quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-666; OSD-770,Mus musculus,3,0,1.3242,0.00126173,1.2080666666666666,False,consistent,up
312,ANXA13,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,2.3638,2.74763e-05,2.1786,False,consistent,up
3158,HMGCS2,3,3,3,quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-666; OSD-770,Mus musculus,3,0,1.4137,0.000582594,1.2372333333333334,False,consistent,up
3159,HMGA1,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-105; OSD-665,Mus musculus,2,1,5.3196,9.53852e-06,1.985166666666667,False,mixed,up
3301,DNAJA1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.6911,5.67039e-06,-1.4039333333333335,False,consistent,down
3320,HSP90AA1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-2.2692,8.15493e-05,-1.8051333333333333,False,consistent,down
340152,ZC3H12D,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.6752,0.00670872,1.5902,False,consistent,up
3570,IL6R,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.4901,3.95528e-15,1.4547999999999999,False,consistent,up
3620,IDO1,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-576; OSD-665; OSD-770,Mus musculus,0,3,-1.8011,0.0251723,-1.4568666666666665,False,consistent,down
3667,IRS1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.731,3.06414e-08,-1.5026333333333335,False,consistent,down
3728,JUP,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.3715,6.81584e-28,1.1477666666666666,False,consistent,up
3732,CD82,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.3704,6.6454e-12,-1.3346666666666664,False,consistent,down
387751,GVINP1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.4779,1.44671e-06,-1.3498333333333334,False,consistent,down
387763,C11orf96,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-576; OSD-770; OSD-99,Mus musculus,2,1,2.2435,0.00144383,0.5759,False,mixed,up
3914,LAMB3,3,3,3,extensor digitorum longus; gastrocnemius; soleus,OSD-422; OSD-665; OSD-770,Mus musculus; Rattus norvegicus,1,2,7.0595,1.90747e-06,1.5216333333333332,False,mixed,down
400258,C14orf180,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,2.5119,8.24435e-08,2.1942,False,consistent,up
4094,MAF,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-576; OSD-665,Mus musculus,1,2,-1.3189,1.96756e-28,-0.43426666666666663,False,mixed,down
4258,MGST2,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-665; OSD-666; OSD-770,Mus musculus,3,0,2.868,1.54673e-05,1.7712333333333332,False,consistent,up
4308,TRPM1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.8142,0.00207715,-1.3771333333333333,False,consistent,down
