humanSymbol	symbol	hEntrez	direction	l2fc_WT	p_WT	l2fc_KO	p_KO	n_arms	both_samedir	nrf2_dependent	bone_role	bone_evidence	digcfde_bonecat	rdkg_pheno	osteoarthritis	specificity	nTissues	priority	tier
EPAS1	Epas1	2034	↓	-0.741474	0.0196687	-0.976609	0.00159052	2	True	False		gwas_strong	BMD|fracture		False			46.5	B
TBX6	Tbx6	6911	↓	-0.96824	8.18873e-05	-0.832083	0.00137258	2	True	False		gwas_strong	BMD|fracture		False			46.5	B
LRP5	Lrp5	4041	↓			-0.511	0.0465	1		True	Wnt co-receptor (bone mass)	canonical	BMD|OI|fracture|osteoporosis	Osteopenia|Reduced_BMD|Fracture	False			46.4	B
RNF2	Rnf2	6045	↑			0.478449	0.00196315	1		True		mendelian	BMD	Osteoporosis|Osteopenia	False			46.2	B
KDM4B	Kdm4b	23030	↓			-0.468339	0.0198989	1		True		mendelian		Osteoporosis|Osteopenia	False			46.1	B
AGTR1	Agtr1a	185	↓	-0.906438	2.86551e-06	-0.646323	0.00115994	2	True	False		gwas_strong	fracture		False			46.0	B
ARRDC2	Arrdc2	27106	↓	-0.689801	8.95309e-05	-0.901142	1.53984e-07	2	True	False		gwas_strong	BMD|fracture		False			46.0	B
CASKIN2	Caskin2	57513	↓	-0.547734	0.0129584	-0.879286	5.11585e-05	2	True	False		gwas_strong	BMD|fracture		False			45.9	B
DPF3	Dpf3	8110	↓	-0.742312	9.31647e-05	-0.869398	1.17056e-06	2	True	False		gwas_strong	osteoporosis		False			45.8	B
AQP1	Aqp1	358	↓	-0.796399	1.73949e-05	-0.868479	2.4385e-06	2	True	False		gwas_strong	BMD|fracture		False			45.8	B
SCAF4	Scaf4	57466	↓			-0.413277	0.00868284	1		True		mendelian		Osteoporosis|Osteopenia	False			45.8	B
FGFRL1	Fgfrl1	53834	↓	-0.553394	0.00853994	-0.835987	5.62295e-05	2	True	False		gwas_strong	BMD|fracture		False			45.6	B
XYLB	Xylb	9942	↓			-1.88112	0.00487936	1		True		gwas_strong	BMD|fracture		False			45.5	B
SLC25A37	Slc25a37	51312	↓	-0.8321	8.98632e-07	-0.754145	1.08238e-05	2	True	False		gwas_strong	osteoporosis		False			45.5	B
IRF4	Irf4	3662	↓	-0.823082	4.88782e-05	-0.72826	0.000529898	2	True	False		gwas_strong	osteoporosis		False			45.5	B
CSF1	Csf1	1435	↓			-0.379	0.0485	1		True	osteoclast differentiation (M-CSF)	canonical	BMD|fracture		False			45.5	B
SOX6	Sox6	55553	↓	-0.795471	0.00140232	-0.698015	0.00590289	2	True	False		gwas_strong	BMD|fracture|osteoporosis		False			45.3	B
MRM1	Mrm1	79922	↓	-0.593577	0.00247494	-0.795152	2.375e-05	2	True	False		gwas_strong	osteoporosis		False			45.3	B
HNMT	Hnmt	3176	↑	0.784708	0.000281731	0.495943	0.0293719	2	True	False		gwas_strong	osteoporosis		False			45.2	B
TYROBP	Tyrobp	7305	↑	0.783532	3.23766e-08	0.477768	0.00146926	2	True	False		gwas_strong	BMD|fracture		False			45.2	B
MAST2	Mast2	23139	↓	-0.610496	1.52641e-05	-0.770639	4.55357e-08	2	True	False		gwas_strong	BMD|fracture		False			45.1	B
PARVB	Parvb	29780	↓	-0.601712	0.012394	-0.768925	0.00101206	2	True	False		gwas_strong	BMD|fracture		False			45.1	B
NXPE2	Nxpe2	120406	↓	-0.766988	0.000297936	-0.539484	0.0151761	2	True	False		gwas_strong	osteoporosis		False			45.1	B
SERTAD2	Sertad2	9792	↓	-0.764412	6.23405e-08	-0.681767	1.85338e-06	2	True	False		gwas_strong	BMD|fracture		False			45.1	B
SLC30A10	Slc30a10	55532	↓	-0.711758	0.00240089	-0.764407	0.000362184	2	True	False		gwas_strong	BMD|fracture		False			45.1	B
MTURN	Mturn	222166	↓	-0.764309	7.68384e-07	-0.531511	0.00080958	2	True	False		gwas_strong	BMD|fracture		False			45.1	B
IL2RA	Il2ra	3559	↓	-0.757229	0.00298732	-0.664128	0.0122346	2	True	False		gwas_strong	osteoporosis		False			45.0	B
SLC26A1	Slc26a1	10861	↓	-0.738811	0.00407947	-0.697865	0.00918774	2	True	False		gwas_strong	BMD|fracture		False			44.9	B
COL27A1	Col27a1	85301	↓	-0.646908	0.0328472	-0.737101	0.0146371	2	True	False		gwas_strong	BMD|fracture		False			44.9	B
PLPP1	Plpp1	8611	↓	-0.735728	0.000528059	-0.631071	0.00308979	2	True	False		gwas_strong	BMD|fracture		False			44.9	B
POU2AF1	Pou2af1	5450	↓	-0.684575	0.000196112	-0.703934	0.000153911	2	True	False		gwas_strong	fracture		False			44.7	B
CTSH	Ctsh	1512	↑	0.685208	4.48901e-10	0.496175	1.11159e-05	2	True	False		gwas_strong	BMD|fracture		False			44.6	B
LYZ	Lyz1	4069	↑	0.655142	0.0313032	0.666769	0.0250485	2	True	False		gwas_strong	BMD|fracture		False			44.4	B
ABCB4	Abcb4	5244	↓	-0.66333	0.000509369	-0.635611	0.000891971	2	True	False		gwas_strong	fracture		False			44.4	B
TNFAIP8L2	Tnfaip8l2	79626	↑	0.660761	4.1343e-09	0.407059	0.000561063	2	True	False		gwas_strong	osteoporosis		False			44.4	B
CEP164	Cep164	22897	↓	-0.635448	0.00691411	-0.653616	0.00594893	2	True	False		gwas_strong	osteoporosis		False			44.4	B
RLIM	Rlim	51132	↑			0.209295	0.0248198	1		True		mendelian		Osteoporosis|Osteopenia	False			44.4	B
SEC61B	Sec61b	10952	↑	0.650491	0.000331489	0.529477	0.00435141	2	True	False		gwas_strong	osteoporosis		False			44.3	B
