humanSymbol	symbol	hEntrez	direction	l2fc_WT	p_WT	l2fc_KO	p_KO	n_arms	both_samedir	nrf2_dependent	bone_role	bone_evidence	digcfde_bonecat	rdkg_pheno	osteoarthritis	specificity	nTissues	priority	tier
ACTR3	Actr3	10096	↑	0.412399	9.24969e-08	0.289666	0.000308565	2	True	False		gwas_bmd	BMD		False			35.7	C
RND3	Rnd3	390	↑	0.325577	0.0263715	0.411733	0.0030892	2	True	False		gwas_bmd	BMD		False			35.7	C
AFF1	Aff1	4299	↓	-0.409969	0.00900362	-0.387057	0.0145947	2	True	False		gwas_bmd	BMD		False			35.7	C
TSC1	Tsc1	7248	↓	-0.406961	0.0013608	-0.309365	0.0220314	2	True	False		gwas_bmd	BMD		False			35.7	C
NTAN1	Ntan1	123803	↑	0.404856	0.00493171	0.298566	0.0434212	2	True	False		gwas_bmd	BMD		False			35.7	C
CELF1	Celf1	10658	↓	-0.351999	0.00456899	-0.40208	0.000976653	2	True	False		gwas_bmd	BMD		False			35.7	C
U2AF2	U2af2	11338	↓			-0.400534	0.00286135	1		True		gwas_strong	BMD|fracture		False			35.7	B
LHFPL2	Lhfpl2	10184	↑			0.400392	0.00375314	1		True		gwas_strong	osteoporosis		False			35.7	B
	Ighv7-3	28318	↓	-1.41326	0.0143573	-1.59713	0.012891	2	True	False		none			False	systemic	5.0	35.6	C
	Ighv7-3	28409	↓	-1.41326	0.0143573	-1.59713	0.012891	2	True	False		none			False	systemic	5.0	35.6	C
IGHV3-72	Ighv7-3	28410	↓	-1.41326	0.0143573	-1.59713	0.012891	2	True	False		none			False	systemic	5.0	35.6	C
	Ighv7-3	28423	↓	-1.41326	0.0143573	-1.59713	0.012891	2	True	False		none			False	systemic	5.0	35.6	C
	Ighv7-3	28444	↓	-1.41326	0.0143573	-1.59713	0.012891	2	True	False		none			False	systemic	5.0	35.6	C
	Ighv7-3	28448	↓	-1.41326	0.0143573	-1.59713	0.012891	2	True	False		none			False	systemic	5.0	35.6	C
	Ighv7-3	28449	↓	-1.41326	0.0143573	-1.59713	0.012891	2	True	False		none			False	systemic	5.0	35.6	C
ATP6	ATP6	4508	↑	1.58911	8.29164e-16	0.988196	1.98587e-06	2	True	False		none			False	systemic	6.0	35.6	C
SH3BP2	Sh3bp2	6452	↓			-0.394874	0.0101494	1		True		gwas_strong	BMD|fracture		False			35.6	B
HSD17B11	Hsd17b11	51170	↑	0.276372	0.0320605	0.394223	0.00137603	2	True	False		gwas_bmd	BMD		False			35.6	C
ARHGAP17	Arhgap17	55114	↓			-0.392666	0.03569	1		True		gwas_strong	osteoporosis		False			35.6	B
MEN1	Men1	4221	↓			-0.391844	0.0149651	1		True		gwas_strong	BMD|fracture		False			35.6	B
PRKACA	Prkaca	5566	↓			-0.390957	0.0237885	1		True		gwas_strong	BMD|fracture		False			35.6	B
DRAM1	Dram1	55332	↑	0.302971	0.00799439	0.390638	0.0004375	2	True	False		gwas_bmd	BMD		False			35.6	C
ACSS1	Acss1	84532	↓	-0.389483	0.00532577	-0.3322	0.0207272	2	True	False		gwas_bmd	BMD		False			35.6	C
ITGA4	Itga4	3676	↓	-0.387889	0.000553735	-0.306119	0.00845193	2	True	False		gwas_bmd	BMD		False			35.6	C
PTS	Pts	5805	↑			0.385572	0.00680838	1		True		gwas_strong	BMD|fracture|osteoporosis		False			35.6	B
CD82	Cd82	3732	↓			-0.384745	0.000434682	1		True		gwas_strong	BMD|osteoporosis		False			35.6	B
ATP8	ATP8	4509	↑	1.56765	0.0114458	1.26486	0.0477298	2	True	False		none			False	systemic	7.0	35.5	C
LY86	Ly86	9450	↑	0.378534	0.00083719	0.305655	0.00842253	2	True	False		gwas_bmd	BMD		False			35.5	C
HELB	Helb	92797	↓	-0.212912	0.021702	-0.377107	1.34659e-05	2	True	False		gwas_bmd	BMD		False			35.5	C
TMEM38B	Tmem38b	55151	↑	0.303358	0.00476766	0.376167	0.000244422	2	True	False		gwas_bmd	BMD|OI		False			35.5	C
SMIM29	Smim29	221491	↑	0.358728	0.0179877	0.371116	0.0122943	2	True	False		gwas_bmd	BMD		False			35.5	C
ZNF703	Zfp703	80139	↓			-1.41462	8.98855e-08	1		True		gwas_bmd	BMD		False			35.4	C
NEDD9	Nedd9	4739	↑			0.366325	0.00641917	1		True		gwas_strong	osteoporosis		False			35.4	B
NFIX	Nfix	4784	↓	-0.364711	0.0250849	-0.347181	0.0372955	2	True	False		gwas_bmd	BMD		False			35.4	C
DVL1	Dvl1	1855	↓			-0.360373	0.0400783	1		True		gwas_strong	BMD|fracture|osteoporosis		False			35.4	B
ARL14EP	Arl14ep	120534	↑			0.360364	0.0113827	1		True		gwas_strong	fracture		False			35.4	B
SCMH1	Scmh1	22955	↓			-0.359572	0.0403585	1		True		gwas_strong	BMD|fracture		False			35.4	B
DECR2	Decr2	26063	↑			0.35817	0.0400782	1		True		gwas_strong	fracture		False			35.4	B
CLPTM1	Clptm1	1209	↓			-0.357834	0.00906601	1		True		gwas_strong	fracture		False			35.4	B
NDUFS4	Ndufs4	4724	↑	0.356712	0.0373321	0.346334	0.0406018	2	True	False		gwas_bmd	BMD		False			35.4	C
RTF1	Rtf1	23168	↓	-0.356625	0.00482632	-0.286902	0.0316995	2	True	False		gwas_bmd	BMD		False			35.4	C
ATG13	Atg13	9776	↓			-0.355826	0.0257343	1		True		gwas_strong	BMD|fracture		False			35.4	B
LMO4	Lmo4	8543	↑	0.354838	0.000320048	0.252271	0.0153705	2	True	False		gwas_bmd	BMD		False			35.4	C
COA8	Coa8	84334	↑			0.353889	0.0123808	1		True		gwas_strong	fracture		False			35.4	B
ALDH3B2	Aldh3b2	222	↓	-0.998152	0.00460147	-1.54611	6.50239e-06	2	True	False		none			False			35.3	C
ACTR2	Actr2	10097	↑	0.351503	1.9174e-05	0.327379	8.2736e-05	2	True	False		gwas_bmd	BMD		False			35.3	C
GMDS	Gmds	2762	↑			0.351168	0.00784827	1		True		gwas_strong	BMD|fracture		False			35.3	B
PRKD3	Prkd3	23683	↑			0.350258	6.31076e-05	1		True		gwas_strong	fracture		False			35.3	B
GPCPD1	Gpcpd1	56261	↓	-0.339805	0.0307348	-0.346475	0.0261355	2	True	False		gwas_bmd	BMD		False			35.3	C
ELK4	Elk4	2005	↓	-0.345882	0.0126368	-0.30474	0.0320902	2	True	False		gwas_bmd	BMD		False			35.3	C
H3-5	H3f3b	440093	↑			0.338201	0.0400782	1		True		gwas_strong	BMD|osteoporosis		False			35.3	B
SSR3	Ssr3	6747	↑	0.267946	0.00504078	0.331682	0.000314506	2	True	False		gwas_bmd	BMD		False			35.2	C
WLS	Wls	79971	↑			0.328566	0.000742243	1		True		gwas_strong	BMD|fracture|osteoporosis		False			35.2	B
ABCA13	Abca13	154664	↑			0.327814	0.0364361	1		True		gwas_strong	BMD|fracture		False			35.2	B
ALDH1L1	Aldh1l1	10840	↓			-1.36496	0.0413095	1		True		gwas_bmd	BMD		False			35.1	C
NOL10	Nol10	79954	↓			-0.3225	0.0367963	1		True		gwas_strong	fracture		False			35.1	B
NUP160	Nup160	23279	↓			-0.320034	0.0105919	1		True		gwas_strong	fracture		False			35.1	B
KDM6A	Kdm6a	7403	↓	-0.22169	0.0145025	-0.319961	0.000170836	2	True	False		gwas_bmd	BMD		False			35.1	C
CBY1	Cby1	25776	↑			0.319824	0.0435742	1		True		gwas_strong	BMD|fracture		False			35.1	B
RBX1	Rbx1	9978	↑	0.3191	0.0140764	0.308484	0.0167695	2	True	False		gwas_bmd	BMD		False			35.1	C
UBE2K	Ube2k	3093	↑	0.21801	0.0198924	0.318083	0.000286695	2	True	False		gwas_bmd	BMD		False			35.1	C
ATP11B	Atp11b	23200	↑			0.316293	0.00333452	1		True		gwas_strong	osteoporosis		False			35.1	B
UBE2E1	Ube2e1	7324	↑	0.27905	0.0230138	0.313942	0.00796343	2	True	False		gwas_bmd	BMD		False			35.1	C
MARCKS	Marcks	4082	↓			-0.311796	0.0395598	1		True		gwas_strong	osteoporosis		False			35.1	B
FIGNL1	Fignl1	63979	↓			-0.311291	0.0168326	1		True		gwas_strong	fracture		False			35.1	B
MARK3	Mark3	4140	↓			-0.308843	0.00270074	1		True		gwas_strong	BMD|fracture		False			35.1	B
RECK	Reck	8434	↑			0.307232	0.0408646	1		True		gwas_strong	BMD|fracture		False			35.0	B
EIF1B	Eif1b	10289	↑			0.303684	0.0102133	1		True		gwas_strong	fracture		False			35.0	B
KRR1	Krr1	11103	↑			0.303527	0.00745156	1		True		gwas_strong	osteoporosis		False			35.0	B
HNRNPR	Hnrnpr	10236	↓			-0.303357	0.0371423	1		True		gwas_strong	osteoporosis		False			35.0	B
IFT20	Ift20	90410	↑			0.302464	0.0420816	1		True		gwas_strong	BMD|fracture		False			35.0	B
DDX23	Ddx23	9416	↓			-0.301168	0.0290003	1		True		gwas_strong	fracture		False			35.0	B
C11orf58	1110004F10Rik	10944	↑			0.298195	0.0327829	1		True		gwas_strong	BMD|fracture		False			35.0	B
MTPN|LUZP6	Mtpn	136319	↑			0.297761	0.00379721	1		True		gwas_strong	fracture|osteoporosis		False			35.0	B
SACM1L	Sacm1l	22908	↑			0.293499	0.00594893	1		True		gwas_strong	osteoporosis		False			35.0	B
CDK4	Cdk4	1019	↑	0.291303	0.0463571	0.292673	0.0442043	2	True	False		gwas_bmd	BMD		False			35.0	C
RBL2	Rbl2	5934	↑			0.292255	0.00809173	1		True		gwas_strong	BMD|fracture		False			34.9	B
SELENOW	Selenow	6415	↑			0.28849	0.0464271	1		True		gwas_strong	BMD|fracture		False			34.9	B
KAT7	Kat7	11143	↓			-0.281576	0.0221855	1		True		gwas_strong	fracture		False			34.9	B
SOX18	Sox18	54345	↓			-1.31798	0.00809173	1		True		gwas_bmd	BMD		False			34.8	C
PTPN2	Ptpn2	5771	↑			0.277397	0.012026	1		True		gwas_strong	BMD|fracture		False			34.8	B
PPP3R1	Ppp3r1	5534	↑	0.275987	0.00085546	0.256167	0.00207958	2	True	False		gwas_bmd	BMD		False			34.8	C
RNF146	Rnf146	81847	↑			0.273119	0.00252745	1		True		gwas_strong	BMD|fracture		False			34.8	B
RPTOR	Rptor	57521	↓			-0.268553	0.0356344	1		True		gwas_strong	fracture		False			34.8	B
ADAMTS2	Adamts2	9509	↓			-1.30987	0.000171101	1		True		gwas_bmd	BMD|OI		False			34.7	C
YWHAZ	Ywhaz	7534	↑	0.209587	0.0395915	0.261081	0.00791145	2	True	False		gwas_bmd	BMD		False			34.7	C
CREB1	Creb1	1385	↑			0.25945	0.0164644	1		True		gwas_strong	BMD|fracture		False			34.7	B
RHEB	Rheb	6009	↑	0.258836	0.0122177	0.208499	0.0472116	2	True	False		gwas_bmd	BMD		False			34.7	C
PTEN	Pten	5728	↑			0.250462	0.0243683	1		True		gwas_strong	BMD|fracture|osteoporosis		False			34.7	B
KDM1A	Kdm1a	23028	↓			-0.249378	0.0491202	1		True		gwas_strong	BMD|fracture		False			34.7	B
UBE2Q2	Ube2q2	92912	↑			0.248516	0.0162712	1		True		gwas_strong	BMD|fracture		False			34.7	B
SLC7A5	Slc7a5	8140	↓	-0.8565	0.000100162	-1.43366	1.39817e-11	2	True	False		none			False			34.6	C
TACC1	Tacc1	6867	↓	-0.246677	0.0158789	-0.236272	0.0219599	2	True	False		gwas_bmd	BMD		False			34.6	C
TMEM64	Tmem64	169200	↓			-0.240282	0.0326936	1		True		gwas_strong	BMD|fracture		False			34.6	B
GOSR2	Gosr2	9570	↑	0.236877	0.0100351	0.205951	0.0287975	2	True	False		gwas_bmd	BMD		False			34.6	C
PTDSS1	Ptdss1	9791	↑	0.236232	0.00645838	0.209445	0.0165353	2	True	False		gwas_bmd	BMD		False			34.6	C
NRAS	Nras	4893	↑			0.235621	0.0294834	1		True		gwas_strong	BMD|fracture		False			34.6	B
SRBD1	Srbd1	55133	↓			-0.234376	0.0343908	1		True		gwas_strong	BMD|fracture		False			34.6	B
SPIN1	Spin1	10927	↑			0.233176	0.030873	1		True		gwas_strong	fracture		False			34.6	B
MPP2	Mpp2	4355	↓	-1.03681	1.75686e-06	-1.43163	3.51916e-11	2	True	False		none			False	systemic	7.0	34.5	C
MAP1A	Map1a	4130	↓	-1.15073	0.0375516	-1.42767	0.0112024	2	True	False		none			False	systemic	7.0	34.5	C
ADAM33	Adam33	80332	↓	-1.01913	0.0026201	-1.42586	4.46895e-06	2	True	False		none			False	systemic	4.0	34.5	C
CCL2	Ccl2	6347	↑	1.42364	0.00734632	1.10819	0.042728	2	True	False		none			False	systemic	9.0	34.5	C
DNASE1L3	Dnase1l3	1776	↓	-0.868751	0.00966717	-1.4211	2.97166e-05	2	True	False		none			False			34.5	C
LAG3	Lag3	3902	↓			-1.27061	0.00216625	1		True		gwas_bmd	BMD		False			34.5	C
SP1	Sp1	6667	↓			-0.223077	0.0435742	1		True		gwas_strong	BMD|osteoporosis		False			34.5	B
VPS41	Vps41	27072	↑			0.219493	0.0442043	1		True		gwas_strong	fracture		False			34.5	B
ATP6V1E1	Atp6v1e1	529	↑	0.202628	0.0304756	0.198666	0.0334091	2	True	False		gwas_bmd	BMD		False			34.4	C
ZNF582	Zfp582	147948	↑	1.68075	0.0223			1		False		gwas_bmd	BMD		False	intermediate	2.0	34.2	C
DUSP8	Dusp8	1850	↓	-0.95041	4.95838e-06	-1.3832	2.36166e-11	2	True	False		none			False			34.2	C
PDK4	Pdk4	5166	↓	-1.3807	0.0473598			1		False		gwas_strong	BMD|fracture		False	systemic	11.0	34.2	B
DCHS1	Dchs1	8642	↓	-1.35433	0.0204481			1		False		gwas_strong	BMD|fracture		False	systemic	7.0	34.0	B
COL1A1		1277	↓			-1.347	0.0502	0		False	type I collagen (bone matrix)	canonical						34.0	B
SLC4A1	Slc4a1	6521	↓	-0.774705	1.67454e-05	-1.34618	8.73518e-15	2	True	False		none			False			34.0	C
MTSS2	Mtss2	92154	↓			-1.18523	0.000928115	1		True		gwas_bmd	BMD		False			33.9	C
LGR5	Lgr5	8549	↓	-1.31314	2.43378e-08			1		False		gwas_strong	BMD|osteoporosis		False	systemic	7.0	33.8	B
IGFBP5	Igfbp5	3488	↓	-1.31313	0.00917241	-1.25853	0.0130157	2	True	False		none			False	systemic	10.0	33.8	C
RIPOR1	Ripor1	79567	↓			-1.16409	5.53043e-07	1		True		gwas_bmd	BMD		False			33.8	C
CBLN1	Cbln1	869	↓	-1.29455	0.0303574	-1.24372	0.0462433	2	True	False		none			False	systemic	3.0	33.6	C
CACNA1G	Cacna1g	8913	↓	-1.29275	4.56543e-07	-1.16676	7.0521e-06	2	True	False		none			False	systemic	7.0	33.6	C
PCDHGC5	Pcdhgc5	56097	↓	-1.29018	0.000892267	-0.959371	0.00840572	2	True	False		none			False	systemic	3.0	33.6	C
SHROOM2	Shroom2	357	↓	-1.2734	0.0228261	-1.24794	0.0189876	2	True	False		none			False	systemic	5.0	33.5	C
HEYL	Heyl	26508	↓			-1.12793	0.0252407	1		True		gwas_bmd	BMD		False			33.5	C
GSK3A	Gsk3a	2931	↓			-1.12097	6.17502e-11	1		True		gwas_bmd	BMD		False			33.5	C
CECR2	Cecr2	27443	↓	-1.26743	1.43367e-13	-0.811331	6.52066e-06	2	True	False		none			False	systemic	9.0	33.4	C
KIAA1671	2900026A02Rik	85379	↓	-0.697321	0.00865139	-1.26338	1.29794e-06	2	True	False		none			False			33.4	C
SAMD14	Samd14	201191	↓	-0.849578	4.95387e-07	-1.26306	4.43389e-14	2	True	False		none			False			33.4	C
CYYR1	Cyyr1	116159	↓	-1.26188	0.0151104	-1.14755	0.0265971	2	True	False		none			False	systemic	6.0	33.4	C
ADAM12	Adam12	8038	↓	-1.26119	0.0103065			1		False		gwas_strong	fracture		False	systemic	9.0	33.4	B
B3GNT3	B3gnt3	10331	↓	-1.26093	7.2967e-08	-1.1886	5.69512e-07	2	True	False		none			False	systemic	4.0	33.4	C
ARHGDIG	Arhgdig	398	↑	1.25711	0.0474625			1		False		gwas_strong	BMD|osteoporosis		False	systemic	4.0	33.4	B
LIMCH1	Limch1	22998	↓			-1.10314	0.0234649	1		True		gwas_bmd	BMD		False			33.4	C
SLC7A11	Slc7a11	23657	↑	0.990636	0.000297428	1.24044	3.37476e-06	2	True	False		none			False			33.3	C
TNS2	Tns2	23371	↓	-1.13	0.0290631	-1.23108	0.0188952	2	True	False		none			False	systemic	12.0	33.2	C
SOX12	Sox12	6666	↓			-1.0796	1.06401e-06	1		True		gwas_bmd	BMD		False			33.2	C
SNX22	Snx22	79856	↓	-1.06817	1.00375e-08	-1.22106	2.57583e-11	2	True	False		none			False	systemic	5.0	33.1	C
TMEM108	Tmem108	66000	↓	-1.21958	2.79233e-05	-0.934707	0.00400399	2	True	False		none			False	systemic	3.0	33.1	C
OAS3	Oas3	4940	↓	-0.475032	0.0101765	-1.21743	7.5212e-13	2	True	False		none			False			33.1	C
CCDC92B	Ccdc92b	101928991	↓	-0.748661	0.00382382	-1.21666	7.92641e-07	2	True	False		none			False			33.1	C
POPDC2	Popdc2	64091	↓	-1.21618	1.51225e-07	-1.1997	2.41949e-07	2	True	False		none			False	systemic	8.0	33.1	C
ZBED5	Chchd2l	58486	↑	1.21129	0.0193124			1		False		gwas_strong	fracture		False	systemic	4.0	33.1	B
NINL	Ninl	22981	↓	-1.2104	2.60797e-10	-0.636947	0.00139523	2	True	False		none			False	systemic	5.0	33.1	C
CDT1	Cdt1	81620	↓			-1.06891	9.30894e-10	1		True		gwas_bmd	BMD		False			33.1	C
SYT14	Syt14	255928	↓	-1.2072	1.52473e-05	-0.755734	0.00285476	2	True	False		none			False	systemic	7.0	33.0	C
TEKTIP1	4930404N11Rik	100128569	↓	-0.968323	0.000273651	-1.20631	1.11921e-05	2	True	False		none			False			33.0	C
SNAI2	Snai2	6591	↓	-1.20282	0.02461			1		False		gwas_strong	BMD|fracture		False	systemic	4.0	33.0	B
TTLL12	Ttll12	23170	↓	-0.507216	0.00938156	-1.20027	2.38739e-11	2	True	False		none			False			33.0	C
AKAP12	Akap12	9590	↓	-1.19963	6.21892e-06	-0.999884	0.000312547	2	True	False		none			False	systemic	6.0	33.0	C
ASPRV1|PCBP1-AS1	Asprv1	151516	↑	1.19731	9.63531e-09	0.654846	0.00340023	2	True	False		none			False	systemic	6.0	33.0	C
GALNT15	Galnt15	117248	↓	-1.19014	0.00490817	-0.962165	0.0240169	2	True	False		none			False	systemic	10.0	32.9	C
AOC2	Aoc2	314	↓	-1.1899	1.76068e-08	-0.910142	2.29547e-05	2	True	False		none			False	systemic	4.0	32.9	C
PERM1	Perm1	84808	↓	-1.18401	0.000104503	-0.988026	0.00202073	2	True	False		none			False	systemic	10.0	32.9	C
ATL1	Atl1	51062	↓	-1.1803	0.000167569	-0.750818	0.0198628	2	True	False		none			False	systemic	5.0	32.9	C
CCN5	Ccn5	8839	↓	-1.03824	0.0380455	-1.17854	0.0111032	2	True	False		none			False	systemic	5.0	32.9	C
CPLX2	Cplx2	10814	↓	-1.16171	9.24969e-08	-0.737742	0.00160474	2	True	False		none			False	systemic	5.0	32.7	C
SLC6A9	Slc6a9	6536	↓	-1.05329	9.75887e-10	-1.15786	1.67217e-11	2	True	False		none			False	systemic	8.0	32.7	C
OMP	Omp	4975	↓	-0.896937	0.002267	-1.15246	7.65061e-05	2	True	False		none			False			32.7	C
FLT4	Flt4	2324	↓	-1.12351	0.0367265	-1.14892	0.0340437	2	True	False		none			False	systemic	4.0	32.7	C
PDE7B	Pde7b	27115	↑			1.00582	0.00928666	1		True		gwas_bmd	BMD		False			32.7	C
RBMS3	Rbms3	27303	↓			-1.00375	0.0367173	1		True		gwas_bmd	BMD		False			32.7	C
DDR1	Ddr1	780	↓			-1.00189	0.00137401	1		True		gwas_bmd	BMD		False			32.7	C
ELMO3	Elmo3	79767	↓	-1.13414	0.000516162	-0.924627	0.00465268	2	True	False		none			False	systemic	8.0	32.6	C
PTGS2	Ptgs2	5743	↑			0.988917	0.024173	1		True		gwas_bmd	BMD		True			32.6	C
PHYHIP	Phyhip	9796	↓	-0.627073	0.00195035	-1.13154	3.07098e-09	2	True	False		none			False			32.5	C
PCDHGB5	Pcdhgb5	56101	↓	-1.12526	0.00821011	-0.847594	0.0498188	2	True	False		none			False	systemic	7.0	32.5	C
C1orf198	2310022B05Rik	84886	↓	-0.600876	0.000725334	-1.12123	5.25966e-11	2	True	False		none			False			32.5	C
CLEC4C	Clec4b2	170482	↑	0.766877	9.71614e-05	1.11566	3.04157e-09	2	True	False		none			False			32.4	C
	Btnl10	100129094	↓	-1.11414	1.03571e-11	-1.00838	7.4355e-10	2	True	False		none			False	systemic	3.0	32.4	C
KEL	Kel	3792	↓	-1.11179	1.34507e-08	-0.905093	5.71265e-06	2	True	False		none			False	systemic	5.0	32.4	C
KLF1	Klf1	10661	↓	-0.496273	0.0150728	-1.11092	1.8019e-09	2	True	False		none			False			32.4	C
TMEM229A	Tmem229a	730130	↑	0.90316	0.0362012	1.10742	0.00355956	2	True	False		none			False			32.4	C
SRP54	Srp54c	6729	↑			0.958793	0.00136263	1		True		gwas_bmd	BMD		False			32.4	C
CPM	Cpm	1368	↓	-1.09729	9.96151e-07			1		False		gwas_strong	fracture		False	systemic	6.0	32.3	B
CAPN5	Capn5	726	↓	-0.89811	1.62556e-07	-1.09417	1.13833e-10	2	True	False		none			False			32.3	C
ARHGAP23	Arhgap23	57636	↓	-0.596551	0.00170782	-1.08964	1.1792e-09	2	True	False		none			False			32.3	C
COL4A2	Col4a2	1284	↓			-0.946437	0.0334346	1		True		gwas_bmd	BMD		False			32.3	C
PHLDB2	Phldb2	90102	↓	-1.08667	0.0119708			1		False		gwas_strong	fracture		False	systemic	7.0	32.2	B
RFX2	Rfx2	5990	↓	-1.01122	3.86835e-09	-1.08489	3.47782e-10	2	True	False		none			False	systemic	6.0	32.2	C
MYL4	Myl4	4635	↓	-1.01559	0.000694099	-1.0848	0.000261185	2	True	False		none			False	systemic	9.0	32.2	C
BRPF3	Brpf3	27154	↓	-0.824921	4.51195e-07	-1.08131	1.67217e-11	2	True	False		none			False			32.2	C
CTSF	Ctsf	8722	↓	-0.942572	0.00105553	-1.08079	9.16826e-05	2	True	False		none			False			32.2	C
	C4b	100293534	↓	-1.08041	0.00488306	-0.794869	0.0473933	2	True	False		none			False	systemic	10.0	32.2	C
PLVAP	Plvap	83483	↓	-0.892819	0.00323331	-1.07305	0.00107409	2	True	False		none			False			32.2	C
ANK1	Ank1	286	↓	-1.07247	2.77547e-10	-1.04787	6.14759e-10	2	True	False		none			False	systemic	10.0	32.1	C
ACKR1	Ackr1	2532	↓	-0.867196	3.13427e-07	-1.07245	7.47549e-11	2	True	False		none			False			32.1	C
COX3	COX3	4514	↑	1.07212	2.2549e-07	0.481271	0.0371094	2	True	False		none			False	systemic	4.0	32.1	C
SLC25A42	Slc25a42	284439	↓	-1.06925	1.20648e-11	-0.727414	8.68302e-06	2	True	False		none			False	systemic	10.0	32.1	C
ND1	ND1	4535	↑	1.06769	1.31087e-07	0.953108	3.08465e-06	2	True	False		none			False	systemic	9.0	32.1	C
TMC3	Tmc3	342125	↓	-0.979451	0.0321055	-1.06699	0.00532827	2	True	False		none			False			32.1	C
SLC22A23	Slc22a23	63027	↓	-1.06305	2.48126e-06	-1.04116	4.69498e-06	2	True	False		none			False	systemic	7.0	32.1	C
ZMIZ2	Zmiz2	83637	↓			-0.921721	0.000357195	1		True		gwas_bmd	BMD		False			32.1	C
SPON1	Spon1	10418	↓			-0.907793	0.0155008	1		True		gwas_bmd	BMD		False			32.1	C
COL11A2	Col11a2	1302	↓			-0.907621	0.004865	1		True		gwas_bmd	BMD		True			32.1	C
C22orf15	Gm867	150248	↓	-1.05615	1.8251e-07	-1.02609	3.18977e-07	2	True	False		none			False	systemic	3.0	32.0	C
ZNF521	Zfp521	25925	↓	-1.05236	0.0100275			1		False		gwas_strong	BMD|fracture		False	systemic	7.0	32.0	B
RBM38	Rbm38	55544	↓	-0.444861	0.0353009	-1.04723	2.87814e-08	2	True	False		none			False			32.0	C
COL5A3	Col5a3	50509	↓	-0.847666	0.00188391	-1.04634	0.000178391	2	True	False		none			False			32.0	C
GFI1B	Gfi1b	8328	↓	-0.702117	0.00180413	-1.04542	1.53818e-06	2	True	False		none			False			32.0	C
SUOX	Suox	6821	↓	-0.390258	0.0409692	-1.04314	8.97266e-10	2	True	False		none			False			32.0	C
ITSN1	Itsn1	6453	↓	-1.04079	3.71228e-10	-0.719196	2.7017e-05	2	True	False		none			False	systemic	11.0	31.9	C
ACHE	Ache	43	↓	-1.04075	9.05203e-09	-0.923076	4.44732e-07	2	True	False		none			False	systemic	7.0	31.9	C
PC	Pcx	5091	↓	-1.03781	5.01292e-07	-1.01182	1.34185e-06	2	True	False		none			False	systemic	10.0	31.9	C
MPIG6B	Mpig6b	80739	↓	-0.863508	0.0196826	-1.03457	0.00520485	2	True	False		none			False			31.9	C
DMTN	Dmtn	2039	↓	-1.03247	7.56438e-11	-0.976669	6.14505e-10	2	True	False		none			False	systemic	5.0	31.9	C
C1orf226	Gm7694	400793	↓	-0.492903	0.0496077	-1.03226	1.30002e-05	2	True	False		none			False			31.9	C
PDPN	Pdpn	10630	↑	1.03098	0.0392498			1		False		gwas_strong	BMD|fracture		False	systemic	7.0	31.9	B
LRRC32	Lrrc32	2615	↓	-0.996816	0.00973029	-1.02716	0.00853754	2	True	False		none			False			31.8	C
CLEC4D	Clec4d	338339	↑	1.02622	8.46057e-05	1.00041	0.00013564	2	True	False		none			False	systemic	7.0	31.8	C
TTC39A	Ttc39a	22996	↓	-0.919209	0.000820566	-1.0257	4.81203e-05	2	True	False		none			False			31.8	C
NIBAN3	Niban3	199786	↓	-0.874235	0.000339593	-1.02475	2.56441e-05	2	True	False		none			False			31.8	C
TMC8	Tmc8	147138	↓	-0.465198	0.0359561	-1.02143	4.5708e-07	2	True	False		none			False			31.8	C
SLC25A20	Slc25a20	788	↑	0.931582	4.25629e-05	1.01895	6.61726e-06	2	True	False		none			False			31.8	C
PPP1R42	Ppp1r42	286187	↑	1.01831	1.23533e-05	0.834219	0.000271378	2	True	False		none			False	systemic	5.0	31.8	C
NATD1	Natd1	256302	↓	-0.537415	0.00116296	-1.01477	1.03956e-10	2	True	False		none			False			31.8	C
UFSP1	Ufsp1	402682	↓	-1.01289	1.76068e-08	-0.724197	0.000165401	2	True	False		none			False	systemic	8.0	31.8	C
KIF18B	Kif18b	146909	↓	-0.739161	7.18853e-06	-1.01269	4.4127e-10	2	True	False		none			False			31.8	C
MEF2D	Mef2d	4209	↓			-0.86958	0.000101084	1		True		gwas_bmd	BMD		False			31.8	C
STEAP3	Steap3	55240	↓	-0.582401	0.00748811	-1.00912	8.9218e-07	2	True	False		none			False			31.7	C
REEP6	Reep6	92840	↓	-0.672907	0.0316561	-1.00702	0.00147127	2	True	False		none			False			31.7	C
KCND1	Kcnd1	3750	↓	-1.00077	0.000574773	-0.789042	0.00878672	2	True	False		none			False	systemic	5.0	31.7	C
KDM6B	Kdm6b	23135	↓			-0.855391	0.00449095	1		True		gwas_bmd	BMD		False			31.7	C
NIBAN2	Niban2	64855	↓			-0.842652	0.000677466	1		True		gwas_bmd	BMD		False			31.6	C
MEGF8	Megf8	1954	↓			-0.842501	0.00782873	1		True		gwas_bmd	BMD		False			31.6	C
SREBF1	Srebf1	6720	↓			-0.826969	0.000759673	1		True		gwas_bmd	BMD		False			31.5	C
PHF2	Phf2	5253	↓			-0.825339	0.000140669	1		True		gwas_bmd	BMD		False			31.5	C
PDGFRB	Pdgfrb	5159	↓			-0.818453	0.012194	1		True		gwas_bmd	BMD		False			31.5	C
FAM9A	Xlr4c	171482	↑	1.24689	0.0160891			1		False		gwas_bmd	BMD		False	intermediate	2.0	31.3	C
