geneEntrez	digcfde_bonecats
1454	BMD
1455	BMD
145567	BMD
145581	BMD|osteolysis_necrosis|osteoporosis
1456	BMD|fracture
145645	BMD
1457	BMD
145873	BMD|fracture
1459	BMD|fracture
145942	BMD|fracture
145946	osteoporosis
1460	BMD
1462	BMD|fracture|osteoporosis
146279	fracture
146433	BMD
146556	BMD
146664	fracture
146691	BMD
146712	fracture
1469	BMD
147111	BMD|fracture
147495	BMD|osteoporosis
147699	BMD
147906	BMD
147923	osteoporosis
147948	BMD
147949	BMD
148	BMD
148109	BMD
1482	BMD|fracture
148581	osteoporosis
1487	BMD|fracture
1488	BMD|fracture|osteoporosis
1490	BMD|fracture
149428	osteoporosis
1496	osteoporosis
1499	BMD|fracture|osteoporosis
1500	BMD
1501	BMD|osteoporosis
150280	BMD
1503	BMD
150356	BMD
1504	osteoporosis
150677	BMD
150678	BMD
150763	BMD
151188	BMD
1512	BMD|fracture
1513	BMD|fracture
151313	BMD|fracture
151449	BMD
151525	BMD|osteoporosis
151531	BMD
151647	osteoporosis
152	BMD
152138	BMD
152404	BMD
152756	BMD
152789	BMD|fracture
152815	fracture
153090	BMD
153129	BMD
153339	BMD
153396	BMD|fracture|osteoporosis
1534	BMD
154	BMD|fracture|osteoporosis
1540	BMD
154043	osteolysis_necrosis
154150	osteoporosis
154214	BMD|osteoporosis
154215	osteoporosis
154664	BMD|fracture
154743	osteoporosis
154790	osteoporosis
154907	BMD
155051	BMD
155435	osteoporosis
155465	BMD
1558	osteolysis_necrosis
157285	BMD|osteoporosis
157506	BMD|fracture
157567	osteoporosis
157638	BMD|fracture
157657	BMD|osteoporosis
157753	BMD
158038	BMD
158326	BMD|fracture
158401	BMD
158584	BMD
158586	BMD
1588	BMD|fracture
1591	BMD|fracture
1592	BMD|osteoporosis
1594	BMD|fracture
1595	fracture
1600	BMD|fracture|osteoporosis
1601	BMD|fracture|osteoporosis
160140	fracture
1602	BMD
1605	BMD|osteoporosis
160851	BMD|osteoporosis
1609	BMD|fracture
161176	BMD
161198	BMD
1613	BMD
161514	osteoporosis
161742	fracture
161882	BMD|fracture
162	BMD
162083	BMD
162282	BMD
162466	BMD|fracture
162540	BMD
162655	BMD
163081	osteoporosis
163175	BMD
163223	BMD
163227	osteoporosis
163404	BMD
1635	BMD
164045	BMD
1643	BMD|fracture
1647	BMD
165	BMD
165100	osteoporosis
165257	osteoporosis
1655	BMD|fracture
166	BMD
166336	BMD
1665	BMD
166614	BMD
166824	osteoporosis
166863	osteoporosis
167465	BMD|fracture
168537	BMD
168667	BMD|fracture
168850	BMD|fracture|osteoporosis
169026	osteoporosis
169200	BMD|fracture
169792	BMD|osteoporosis
169981	BMD
170691	osteoporosis
170692	osteoporosis
171023	BMD
171392	osteoporosis
171425	BMD
171482	BMD
171483	BMD
1718	BMD
1723	BMD
1730	fracture
1739	BMD|fracture|osteoporosis
1740	osteoporosis
1741	BMD|fracture
1745	BMD
1746	BMD|osteoporosis
1747	BMD|osteoporosis
1749	BMD|fracture
1750	BMD|fracture
1758	BMD|fracture
176	BMD|fracture|osteolysis_necrosis
1761	osteoporosis
1775	BMD|fracture
1788	fracture
1789	BMD|fracture
1801	BMD|fracture
1803	osteoporosis
1813	fracture
182	BMD|fracture|osteoporosis
1834	fracture
1836	BMD
1845	BMD|fracture|osteoporosis
1846	BMD
1847	BMD
1848	BMD|fracture
185	fracture
1854	fracture
1855	BMD|fracture|osteoporosis
1856	BMD|fracture|osteoporosis
1857	BMD|fracture|osteoporosis
186	BMD
1869	BMD|fracture
187	BMD
1870	BMD|fracture
1874	BMD
1879	BMD
1896	BMD
19	BMD|osteoporosis
1901	BMD
1906	BMD|fracture
1907	osteolysis_necrosis
1909	BMD|fracture
1910	BMD
1912	BMD
1933	BMD|fracture
1947	BMD
1948	fracture
1950	BMD
1951	BMD
1952	BMD
1954	BMD
1956	BMD|fracture|osteoporosis
1958	BMD
1959	BMD|fracture
196	BMD
196051	osteoporosis
196394	BMD
196527	BMD|fracture
1969	BMD
196951	BMD
197	BMD|fracture
197370	osteoporosis
1983	BMD
1993	fracture
199920	osteoporosis
200008	osteoporosis
200010	BMD
200162	osteoporosis
200172	BMD
2005	BMD
200728	osteoporosis
200734	osteoporosis
200844	fracture
2010	BMD
201134	BMD
201176	BMD
2012	BMD|osteoporosis
201266	osteoporosis
2013	BMD
201456	BMD
201595	fracture
2016	BMD|fracture
201625	fracture
201626	fracture
2018	BMD
2019	BMD|fracture|osteoporosis
202018	BMD|osteoporosis
202151	BMD
2022	BMD
2023	BMD
202333	BMD|osteoporosis
203062	osteoporosis
203074	BMD|fracture
203228	osteoporosis
203238	BMD
2033	BMD|fracture
2034	BMD|fracture
2037	BMD
203859	BMD|fracture
2042	fracture
2043	osteoporosis
2045	BMD
2047	BMD|osteoporosis
205	osteoporosis
2053	BMD
205428	BMD
2056	BMD
2057	BMD
205717	BMD
2058	BMD
205860	osteoporosis
2065	BMD
2066	BMD
2068	BMD|fracture
207	BMD|fracture
2070	BMD
2071	fracture
2072	BMD|osteoporosis
2078	BMD
2099	BMD|fracture|osteoporosis
20997	osteoporosis
2100	BMD|fracture|osteoporosis
2101	BMD
2103	BMD
2113	BMD|osteoporosis
2114	BMD|fracture|osteoporosis
2115	BMD|fracture
2116	BMD
2117	osteoporosis
2118	BMD
2119	BMD
2121	osteolysis_necrosis
2122	BMD|fracture
2131	BMD|fracture
2132	BMD|fracture
2138	BMD|fracture
2139	BMD
214	BMD
2146	BMD|fracture
2147	BMD
2149	BMD|fracture
2162	osteoporosis
2166	BMD
2173	BMD
2175	BMD|fracture
2185	BMD
2186	fracture
219285	osteolysis_necrosis
219333	osteoporosis
2195	BMD
219557	osteolysis_necrosis
219654	fracture
219699	fracture
219855	BMD|fracture
219931	BMD|fracture
2200	BMD|fracture
220032	BMD
2201	BMD|fracture
220107	BMD|fracture
220164	osteoporosis
220202	osteoporosis
220382	BMD
220441	BMD
2207	BMD|fracture
220929	fracture
220963	osteoporosis
220988	osteoporosis
221037	osteoporosis
221044	BMD|fracture
221060	BMD
221061	osteoporosis
221079	BMD
221178	BMD
221476	BMD|fracture
221481	BMD|osteoporosis
221491	BMD
221496	BMD
221749	osteoporosis
221786	BMD
221833	BMD
2219	BMD
221935	BMD
221937	BMD|osteoporosis
221960	BMD
221981	BMD
222166	BMD|fracture
222255	BMD|osteoporosis
222389	osteoporosis
222662	osteoporosis
222663	BMD|fracture
222865	BMD
222967	BMD
2230	BMD
223082	BMD
223117	BMD|osteolysis_necrosis
2241	BMD|fracture
2246	BMD
2247	BMD|fracture
2249	BMD|fracture
2251	BMD
2253	BMD|fracture
2254	BMD|fracture|osteoporosis
2255	BMD|fracture
2259	BMD|osteoporosis
2260	BMD|fracture
2261	BMD|fracture|osteolysis_necrosis
2262	BMD
2263	BMD|fracture|osteolysis_necrosis|osteoporosis
2267	BMD
2268	fracture
2275	BMD
22797	BMD|osteoporosis
22798	BMD
2280	BMD|fracture
22800	BMD
22801	BMD
22828	osteoporosis
22841	BMD
22850	BMD
22856	BMD|fracture
