hEntrez,humanSymbol,mouse_symbols,log2fc,log2fc_mean,adj_p_value,n_mouse_map,sign_flip,assay,osd,tissue,organism
4493,MT1E,Mt1,1.1384,1.1384,0.000324107,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
81575,APOLD1,Apold1,-1.1104,-1.1104,0.00193525,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
79879,CCDC134,Ccdc134,1.0521,1.0521,3.20217e-09,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
100130827,SBK3,Sbk3,2.8599,2.8599,0.0462249,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
2354,FOSB,Fosb,2.8446,2.8446,2.93202e-14,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
54058,C21orf58,2610028H24Rik,2.4011,2.4011,0.00588023,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
1628,DBP,Dbp,-2.1823,-2.1823,1.06549e-09,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
2353,FOS,Fos,2.0752,2.0752,0.00220702,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
3428,IFI16,Ifi213,2.0085,2.0085,0.0174109,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
401262,CRIP3,Crip3,1.9723,1.9723,0.000616076,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
