hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
79145	CHCHD7	Chchd7	66433	0.49658	0.49658	0.0120641	1	fracture		False	True	True
79154	DHRS11	Dhrs11	192970	-0.544147	-0.544147	0.000620742	1	osteoporosis		False	True	True
79161	TMEM243	Tmem243	652925	0.332739	0.332739	0.0309981	1			False	False	False
79168	LILRA6	Pira11|Pira6|Pira7|Pira12	100038909	0.413823	0.370379	4.51838e-06	3			False	False	True
79174	CRELD2	Creld2	76737	0.367568	0.367568	0.00755189	1	BMD		False	True	True
7918	GPANK1	Gpank1	81845	0.388258	0.388258	0.0262426	1			False	False	True
79180	EFHD2	Efhd2	27984	0.421197	0.421197	0.0448521	1			False	False	True
79228	THOC6	Thoc6	386612	0.458841	0.458841	0.00204736	1			False	False	True
7940	LST1	Lst1	16988	0.710838	0.710838	1.9239e-05	1			False	False	True
7941	PLA2G7	Pla2g7	27226	0.806653	0.806653	2.85461e-07	1			False	False	True
79443	FYCO1	Fyco1	17281	-0.446504	-0.446504	0.0097865	1	BMD		False	True	True
79583	TMEM231	Tmem231	234740	-0.904889	-0.904889	0.000973047	1			False	False	True
79589	RNF128	Rnf128	66889	0.792837	0.792837	0.00588914	1			False	False	True
79600	TCTN1	Tctn1	654470	-0.83748	-0.83748	1.18723e-06	1			False	False	True
79602	ADIPOR2	Adipor2	68465	0.244709	0.244709	0.00708943	1			False	False	True
79626	TNFAIP8L2	Tnfaip8l2	69769	0.660761	0.660761	4.1343e-09	1	osteoporosis		False	True	True
79628	SH3TC2	Sh3tc2	225608	-0.631777	-0.631777	0.000224724	1	BMD		False	True	True
79634	SCRN3	Scrn3	74616	-0.442703	-0.442703	0.0102495	1			False	False	True
79647	AKIRIN1	Akirin1	68050	0.289465	0.289465	0.000998248	1			False	False	True
79648	MCPH1	Mcph1	244329	-0.517128	-0.517128	0.000164564	1	osteoporosis		False	True	True
79670	TUT7	Tut7	214290	-0.329073	-0.329073	0.000395835	1			False	False	True
79672	FN3KRP	Fn3krp	238024	-0.675361	-0.675361	1.99335e-06	1			False	False	True
79683	ZDHHC14	Zdhhc14	224454	-0.676524	-0.676524	3.73279e-05	1			False	False	True
79685	SAP30L	Sap30l	50724	0.582829	0.582829	1.18719e-05	1			False	False	True
79689	STEAP4	Steap4	117167	-0.817854	-0.817854	0.000533918	1			False	False	True
79697	RIOX1	Riox1	71952	0.52777	0.52777	0.00115674	1	BMD|fracture		False	True	True
79713	IGFLR1	Igflr1	101883	-0.825032	-0.825032	0.0339717	1			False	False	True
79714	CCDC51	Ccdc51	66658	0.413458	0.413458	0.042204	1			False	False	True
79716	NPEPL1	Npepl1	228961	0.241012	0.241012	0.0165002	1			False	False	True
