hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
25896	INTS7	Ints7	77065	-0.420959	-0.420959	0.000267791	1			False	False	True
25897	RNF19A	Rnf19a	30945	-0.220144	-0.220144	0.0287959	1			False	False	True
25900	IFFO1	Iffo1	320678	-0.371689	-0.371689	0.0435742	1			False	False	True
25909	AHCTF1	Ahctf1	226747	-0.36649	-0.36649	0.00403375	1			False	False	True
25921	ZDHHC5	Zdhhc5	228136	-0.316948	-0.316948	0.00375314	1			False	False	True
259266	ASPM	Aspm	12316	-0.524251	-0.524251	0.000570081	1			False	False	True
259308	FAM205A	Fam205a1	433698	-1.15513	-1.15513	0.00511442	1			False	False	True
25932	CLIC4	Clic4	29876	-0.467357	-0.467357	0.00121152	1			False	False	True
25936	NSL1	Nsl1	381318	-0.344153	-0.344153	0.0146335	1			False	False	True
25941	TPGS2	Tpgs2	66648	0.339289	0.339289	0.0351229	1			False	False	True
25945	NECTIN3	Nectin3	58998	-1.03341	-1.03341	0.0406849	1			False	False	True
25946	ZNF385A	Zfp385a	29813	-1.384	-1.384	1.90873e-05	1			False	False	True
25959	KANK2	Kank2	235041	-0.944139	-0.944139	0.0019863	1			False	False	True
25976	TIPARP	Tiparp	99929	0.380987	0.380987	0.0139327	1	BMD		False	True	True
25977	NECAP1	Necap1	67602	0.223969	0.223969	0.0408646	1			False	False	True
25978	CHMP2B	Chmp2b	68942	0.308183	0.308183	0.00221193	1			False	False	True
25998	IBTK	Ibtk	108837	-0.322677	-0.322677	0.00480794	1	fracture		False	True	True
26000	TBC1D10B	Tbc1d10b	68449	-0.572787	-0.572787	0.000332415	1			False	False	True
26005	C2CD3	C2cd3	277939	-0.328256	-0.328256	0.0434212	1			False	False	True
26011	TENM4	Tenm4	23966	-1.14433	-1.14433	0.042854	1	BMD		False	True	True
26017	FAM32A	Fam32a	67922	0.251192	0.251192	0.0370502	1			False	False	True
26018	LRIG1	Lrig1	16206	-0.735162	-0.735162	0.00574347	1			False	False	True
26020	LRP10	Lrp10	65107	-0.914658	-0.914658	7.00627e-06	1			False	False	True
26024	PTCD1	Ptcd1	71799	-0.392492	-0.392492	0.0116554	1			False	False	True
26034	IPCEF1	Ipcef1	320495	0.470607	0.470607	0.000193664	1	BMD		False	True	True
26060	APPL1	Appl1	72993	0.353222	0.353222	0.0448142	1			False	False	True
26063	DECR2	Decr2	26378	0.35817	0.35817	0.0400782	1	fracture		False	True	True
26088	GGA1	Gga1	106039	-0.527943	-0.527943	0.00873289	1			False	False	True
26093	CCDC9	Ccdc9	243846	-0.557638	-0.557638	0.00466557	1			False	False	True
26100	WIPI2	Wipi2	74781	-0.293313	-0.293313	0.000800826	1			False	False	True
26112	CCDC69	Ccdc69	52570	0.388887	0.388887	0.0045248	1			False	False	True
26130	GAPVD1	Gapvd1	66691	-0.270502	-0.270502	0.00154431	1			False	False	True
26136	TES	Tes	21753	0.411453	0.411453	0.000679795	1			False	False	True
26145	IRF2BP1	Irf2bp1	272359	-0.697556	-0.697556	6.89536e-05	1			False	False	True
26146	TRAF3IP1	Traf3ip1	74019	-0.523056	-0.523056	0.0366735	1			False	False	True
2615	LRRC32	Lrrc32	434215	-1.02716	-1.02716	0.00853754	1			False	False	True
26155	NOC2L	Noc2l	57741	-0.319946	-0.319946	0.0100394	1			False	False	True
26156	RSL1D1	Rsl1d1	66409	0.338339	0.338339	0.0145705	1			False	False	True
26173	INTS1	Ints1	68510	-0.465181	-0.465181	0.00760424	1			False	False	True
26191	PTPN22	Ptpn22	19260	0.354821	0.354821	0.0334892	1			False	False	True
26205	GMEB2	Gmeb2	229004	-0.38797	-0.38797	0.000731682	1			False	False	True
26228	STAP1	Stap1	56792	0.470998	0.470998	0.000105131	1			False	False	True
2623	GATA1	Gata1	14460	-0.788694	-0.788694	7.11654e-07	1	BMD|fracture	Osteoporosis|Osteopenia|Fracture	False	True	True
26230	TIAM2	Tiam2	24001	0.347175	0.347175	0.0213864	1	BMD		False	True	True
26231	LRRC29	Lrrc29	234684	-0.600463	-0.600463	0.00176856	1	BMD		False	True	True
26234	FBXL5	Fbxl5	242960	0.423176	0.423176	0.0376597	1			False	False	True
2624	GATA2	Gata2	14461	-0.563073	-0.563073	0.0301463	1	BMD|osteoporosis		False	True	True
26251	KCNG2	Kcng2	240444	-2.33489	-2.33489	0.000127327	1			False	False	True
26253	CLEC4E	Clec4e	56619	0.886368	0.886368	0.0023742	1			False	False	True
26259	FBXW8	Fbxw8	231672	-0.489277	-0.489277	0.00749003	1	fracture		False	True	True
26263	FBXO22	Fbxo22	71999	0.25963	0.25963	0.00571628	1			False	False	True
