mEntrez	symbol	hEntrez	humanSymbol	log2fc	adj_p_value	nOther	nTissues	specificity
333670	Gm867	150248.0	C22orf15	-1.05615	1.8251e-07	4.0	3.0	systemic
381933	Spef1l			1.2855	0.00266223	3.0	2.0	intermediate
382083	Snx22	79856.0	SNX22	-1.06817	1.00375e-08	6.0	5.0	systemic
387314	Tmtc1	83857.0	TMTC1	-1.40066	0.012991	19.0	10.0	systemic
433016	Cstdc4	1475.0	CSTA	1.07625	6.10361e-08	12.0	7.0	systemic
433698	Fam205a1	259308.0	FAM205A	-1.11801	0.0409577	0.0	0.0	marrow-selective
433698	Fam205a1	389715.0		-1.11801	0.0409577	0.0	0.0	marrow-selective
434025	Igkv9-120			-1.36809	0.00355584	8.0	5.0	systemic
434036	Igkv13-85	28935.0	IGKV1-27	-1.41816	0.0332376	1.0	1.0	intermediate
50997	Mpp2	4355.0	MPP2	-1.03681	1.75686e-06	9.0	7.0	systemic
53321	Cntnap1	8506.0	CNTNAP1	-1.06555	0.00860873	12.0	7.0	systemic
54156	Egfl6	25975.0	EGFL6	-1.28057	0.0168569	6.0	4.0	systemic
545115	Apol10c-ps			-1.61373	0.00215457	3.0	1.0	intermediate
56552	Vmn2r26			1.77707	0.0281913	8.0	4.0	systemic
626615	Apol11a	23780.0	APOL2	-2.1317	2.53484e-07	9.0	2.0	intermediate
626615	Apol11a	80832.0	APOL4	-2.1317	2.53484e-07	9.0	2.0	intermediate
626615	Apol11a	80833.0	APOL3	-2.1317	2.53484e-07	9.0	2.0	intermediate
626615	Apol11a	8542.0	APOL1	-2.1317	2.53484e-07	9.0	2.0	intermediate
629822	Ighv7-3	28449.0		-1.41326	0.0143573	14.0	5.0	systemic
629822	Ighv7-3	28318.0		-1.41326	0.0143573	14.0	5.0	systemic
629822	Ighv7-3	28409.0		-1.41326	0.0143573	14.0	5.0	systemic
629822	Ighv7-3	28423.0		-1.41326	0.0143573	14.0	5.0	systemic
629822	Ighv7-3	28410.0	IGHV3-72	-1.41326	0.0143573	14.0	5.0	systemic
629822	Ighv7-3	28448.0		-1.41326	0.0143573	14.0	5.0	systemic
629822	Ighv7-3	28444.0		-1.41326	0.0143573	14.0	5.0	systemic
631797	Fer1l6	654463.0	FER1L6	-1.26006	0.0046724	23.0	10.0	systemic
64058	Perp	64065.0	PERP	1.09242	0.000100162	15.0	5.0	systemic
64082	Popdc2	64091.0	POPDC2	-1.21618	1.51225e-07	12.0	8.0	systemic
665813	Rpl19-ps7			1.36154	0.0133574	0.0	0.0	marrow-selective
668050	Gm8947			-1.19183	0.0239297	6.0	2.0	intermediate
668190	Rpl26-ps1			-1.39071	0.00982716	1.0	1.0	intermediate
668310	Cc2d2b	387707.0	CC2D2B	-1.34436	0.0402073	7.0	3.0	systemic
671564	Rnf212	285498.0	RNF212	-1.1031	0.0264766	1.0	1.0	intermediate
67374	Jam2	58494.0	JAM2	-1.35657	0.0349031	15.0	8.0	systemic
67394	4930404I05Rik			1.23523	0.00918752	1.0	1.0	intermediate
67855	Asprv1	151516.0	ASPRV1|PCBP1-AS1	1.19731	9.63531e-09	12.0	6.0	systemic
69217	Plekha4	57664.0	PLEKHA4	-1.60997	0.0235742	9.0	3.0	systemic
69296	Adora3|Tmigd3	57413.0	TMIGD3	1.16299	4.30657e-06	3.0	1.0	intermediate
69312	Ppp1r42	286187.0	PPP1R42	1.01831	1.23533e-05	11.0	5.0	systemic
69443	1700027J07Rik			-1.04345	0.0142976	5.0	4.0	systemic
69539	Trnp1	388610.0	TRNP1	1.50133	0.0427784	5.0	4.0	systemic
69857	1810053B23Rik			-1.25058	0.021356	12.0	3.0	systemic
69909	2610027K06Rik			-1.23617	0.00473715	5.0	5.0	systemic
70240	Ufsp1	402682.0	UFSP1	-1.01289	1.76068e-08	15.0	8.0	systemic
70574	Cpm	1368.0	CPM	-1.09729	9.96151e-07	12.0	6.0	systemic
71584	Gdpd2	54857.0	GDPD2	-1.02181	0.0465215	18.0	7.0	systemic
71970	Chchd2l	114821.0	ZBED9	1.21129	0.0193124	10.0	4.0	systemic
71970	Chchd2l	58486.0	ZBED5	1.21129	0.0193124	10.0	4.0	systemic
