reactome	pathway	K	k	exp	fold	p	fdr	theme
R-HSA-8949613	Cristae formation	16	9	3.2	2.78	0.0015904743742645	0.0095428462455874	Other
R-HSA-917937	Iron uptake and transport	22	11	4.5	2.47	0.0017275348666057	0.0102537553372727	Other
R-HSA-917977	Transferrin endocytosis and recycling	17	9	3.4	2.62	0.0027776007928449	0.016311017421813	Other
R-HSA-9755088	Ribavirin ADME	9	6	1.8	3.29	0.0032471253280099	0.0188675071690684	Other
R-HSA-5625900	RHO GTPases activate CIT	12	7	2.4	2.88	0.0041543193685146	0.0238873363689589	Other
R-HSA-5689880	Ub-specific processing proteases	121	37	24.5	1.51	0.0042638905804441	0.0242646144371667	Other
R-HSA-8866652	Synthesis of active ubiquitin: roles of E1 and E2 enzymes	18	9	3.6	2.47	0.0045681255772452	0.0257306665167281	Proteostasis (ubiquitin-proteasome)
R-HSA-9708530	Regulation of BACH1 activity	7	5	1.4	3.53	0.0049119395540642	0.0273877841802367	Other
R-HSA-3299685	Detoxification of Reactive Oxygen Species	25	11	5.1	2.17	0.0060094276629596	0.033172040699537	Other
R-HSA-70268	Pyruvate metabolism	10	6	2.0	2.96	0.0067333001241939	0.0357382852745679	Other
R-HSA-204174	Regulation of pyruvate dehydrogenase (PDH) complex	10	6	2.0	2.96	0.0067333001241939	0.0357382852745679	Other
R-HSA-1236977	Endosomal/Vacuolar pathway	10	6	2.0	2.96	0.0067333001241939	0.0357382852745679	Other
R-HSA-2172127	DAP12 interactions	10	6	2.0	2.96	0.0067333001241939	0.0357382852745679	Other
R-HSA-9613829	Chaperone Mediated Autophagy	19	9	3.8	2.34	0.0071415509225132	0.0371899632945973	Other
R-HSA-210991	Basigin interactions	19	9	3.8	2.34	0.0071415509225132	0.0371899632945973	Other
R-HSA-9937383	Mitochondrial ribosome-associated quality control	54	19	10.9	1.74	0.0073986010699977	0.0375267246383102	Translation & ribosome
R-HSA-5368286	Mitochondrial translation initiation	54	19	10.9	1.74	0.0073986010699977	0.0375267246383102	Translation & ribosome
R-HSA-1266695	Interleukin-7 signaling	16	8	3.2	2.47	0.0074781516489386	0.0375267246383102	Immune / inflammatory
R-HSA-499943	Interconversion of nucleotide di- and triphosphates	16	8	3.2	2.47	0.0074781516489386	0.0375267246383102	Other
