assay,gene,symbol,organism,taxonomy,log2fc,adj_p,osd,tissue,entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,http://www.ncbi.nlm.nih.gov/gene/100039827,Gm2445,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.18857,0.0463451,OSD-104,soleus,100039827
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,http://www.ncbi.nlm.nih.gov/gene/100039840,Gm2451,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.53598,0.0131467,OSD-104,soleus,100039840
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-666-c82351edcee1ddd508c2e56d39337eaf,http://www.ncbi.nlm.nih.gov/gene/100040019,Saxo3,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.37331,0.000207997,OSD-666,quadriceps femoris,100040019
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-f82a89dc82f2903149d2d11cbd6a130d,http://www.ncbi.nlm.nih.gov/gene/100040123,Gm2614,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.02151,0.0335887,OSD-690,bone marrow,100040123
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,http://www.ncbi.nlm.nih.gov/gene/100040507,Gm2814,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.60578,0.00351155,OSD-104,soleus,100040507
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-f82a89dc82f2903149d2d11cbd6a130d,http://www.ncbi.nlm.nih.gov/gene/100040551,Gm10036,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.28964,0.000319796,OSD-690,bone marrow,100040551
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100040591,Kcnj13,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.13643,0.0239901,OSD-770,soleus,100040591
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100040766,Mroh2a,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,2.15389,0.00937448,OSD-770,soleus,100040766
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100040792,Gm11627,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.12867,0.020983,OSD-770,soleus,100040792
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100040861,Gm13057,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,2.36859,0.0396457,OSD-770,soleus,100040861
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100041085,Mfsd4b3-ps,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.87105,8.14076e-14,OSD-770,soleus,100041085
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-576-df35787540b0077305f2739d53c076ed,http://www.ncbi.nlm.nih.gov/gene/100041151,Gm3636,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.04728,0.00247601,OSD-576,tibialis anterior,100041151
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100041286,Snhg15,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.26337,1.30476e-05,OSD-770,soleus,100041286
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100041379,Zfp980,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.48418,0.00828621,OSD-770,soleus,100041379
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-99-69f6c3ba8382c8668e921659326759d7,http://www.ncbi.nlm.nih.gov/gene/100041420,Gm3325,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.38801,0.00134177,OSD-99,EDL,100041420
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100041420,Gm3325,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.30449,0.00200156,OSD-770,soleus,100041420
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100041546,Ly6c2,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.69393,0.0192066,OSD-770,soleus,100041546
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,http://www.ncbi.nlm.nih.gov/gene/100041579,Gm20878,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.89643,0.00313929,OSD-104,soleus,100041579
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,http://www.ncbi.nlm.nih.gov/gene/100041720,Gm11953,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.17859,0.0331345,OSD-104,soleus,100041720
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100042065,Gm3646,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.01983,0.0290043,OSD-770,soleus,100042065
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-666-c82351edcee1ddd508c2e56d39337eaf,http://www.ncbi.nlm.nih.gov/gene/100042166,1700028E10Rik|Gm3704,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.34061,0.000361591,OSD-666,quadriceps femoris,100042166
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100042178,Prdm16os,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.09772,0.0175099,OSD-770,soleus,100042178
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100042277,Gm3764,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,2.12004,0.00919025,OSD-770,soleus,100042277
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100042295,Gsta13,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-4.00363,4.30697e-08,OSD-770,soleus,100042295
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-d89cbb20c4b7855f3f955e4adbb6515d,http://www.ncbi.nlm.nih.gov/gene/100042335,Rps15a-ps5,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.17412,0.0246509,OSD-690,bone marrow,100042335
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-666-c82351edcee1ddd508c2e56d39337eaf,http://www.ncbi.nlm.nih.gov/gene/100042450,Smim17,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.58449,0.00137864,OSD-666,quadriceps femoris,100042450
