hEntrez	humanSymbol	symbol	l2fc_WT	p_WT	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	l2fc_KO	p_KO	nTissues	specificity	bone_role	sig_WT	sig_KO	n_arms	direction	maxabs	both_samedir	nrf2_dependent	bone_evidence	priority	tier
10238	DCAF7	Dcaf7					False	False	-0.426498	0.0181112				False	True	1	↓	0.426498		False	none	12.8	C
1024	CDK8	Cdk8	-0.354132	0.0104215		Osteoporosis|Osteopenia	False	True	-0.343931	0.0119687				True	True	2	↓	0.354132	True	False	mendelian	52.4	A
10240	MRPS31	Mrps31	0.493845	0.000751614			False	False						True	False	1	↑	0.493845		False	none	13.3	C
10247	RIDA	Rida	0.432315	0.0255728			False	False						True	False	1	↑	0.432315		False	none	12.9	C
10250	SRRM1	Srrm1	-0.388664	0.00815437			False	False	-0.549315	8.88775e-05				True	True	2	↓	0.549315	True	False	none	28.7	C
10260	DENND4A	Dennd4a	-0.477501	0.00437138			False	False						True	False	1	↓	0.477501		False	none	13.2	C
10261	IGSF6	Igsf6	0.25714	0.0237366			False	False	0.530897	2.59202e-07				True	True	2	↑	0.530897	True	False	none	28.5	C
10262	SF3B4	Sf3b4					False	False	-0.900625	0.00378789				False	True	1	↓	0.900625		False	none	16.0	C
10263	CDK2AP2	Cdk2ap2	0.470299	0.00047421			False	False	0.304116	0.0344792				True	True	2	↑	0.470299	True	False	none	28.1	C
10267	RAMP1	Ramp1	0.39002	0.00376712			False	False	0.33972	0.0123541				True	True	2	↑	0.39002	True	False	none	27.6	C
10269	ZMPSTE24	Zmpste24	0.350899	0.012535	BMD|fracture|osteolysis_necrosis		False	True						True	False	1	↑	0.350899		False	gwas_strong	27.3	B
10270	AKAP8	Akap8	-0.226802	0.0298365			False	False						True	False	1	↓	0.226802		False	none	11.5	C
102723169		Ighv1-55					False	False	-1.39799	0.00187294				False	True	1	↓	1.39799		False	none	19.3	C
102725541		Eldr	-0.558014	0.00342125			False	False	-0.41403	0.0280564				True	True	2	↓	0.558014	True	False	none	28.7	C
10276	NET1	Net1	-0.492194	0.000127074			False	False						True	False	1	↓	0.492194		False	none	13.3	C
10282	BET1	Bet1	0.575346	0.000319796			False	False						True	False	1	↑	0.575346		False	none	13.8	C
10284	SAP18	Sap18b					False	False	0.546006	0.0182743				False	True	1	↑	0.546006		False	none	13.6	C
10287	RGS19	Rgs19	0.410092	0.000296322			False	False	0.309651	0.00903777				True	True	2	↑	0.410092	True	False	none	27.7	C
10289	EIF1B	Eif1b			fracture		False	True	0.303684	0.0102133				False	True	1	↑	0.303684		True	gwas_strong	35.0	B
10290	SPEG	Speg	-1.0772	0.0119935			False	False			5.0	systemic		True	False	1	↓	1.0772		False	none	17.2	C
10291	SF3A1	Sf3a1	-0.310239	0.0285242			False	False	-0.527625	9.55443e-05				True	True	2	↓	0.527625	True	False	none	28.5	C
10294	DNAJA2	Dnaja2					False	False	0.223051	0.0218643				False	True	1	↑	0.223051		False	none	11.5	C
10296	MAEA	Maea	0.276617	0.048825	BMD|fracture		False	True						True	False	1	↑	0.276617		False	gwas_strong	26.8	B
10298	PAK4	Pak4					False	False	-0.44513	0.00311757				False	True	1	↓	0.44513		False	none	13.0	C
10299	MARCHF6	Marchf6					False	False	-0.300877	0.00979241				False	True	1	↓	0.300877		False	none	12.0	C
103	ADAR	Adar					False	False	-0.356915	0.0152809				False	True	1	↓	0.356915		False	none	12.4	C
