disease_set,gene
Reduced bone mineral density_HP:0004349,TONSL
Reduced bone mineral density_HP:0004349,TREM2
Reduced bone mineral density_HP:0004349,TRIP11
Reduced bone mineral density_HP:0004349,TRMT10A
Reduced bone mineral density_HP:0004349,TRPS1
Reduced bone mineral density_HP:0004349,TRPV6
Reduced bone mineral density_HP:0004349,TWNK
Reduced bone mineral density_HP:0004349,TYROBP
Reduced bone mineral density_HP:0004349,UBE2T
Reduced bone mineral density_HP:0004349,UNC80
Reduced bone mineral density_HP:0004349,UROD
Reduced bone mineral density_HP:0004349,UROS
Reduced bone mineral density_HP:0004349,USB1
Reduced bone mineral density_HP:0004349,USP8
Reduced bone mineral density_HP:0004349,USP9X
Reduced bone mineral density_HP:0004349,VAMP7
Reduced bone mineral density_HP:0004349,VDR
Reduced bone mineral density_HP:0004349,VPS53
Reduced bone mineral density_HP:0004349,WDR11
Reduced bone mineral density_HP:0004349,WDR19
Reduced bone mineral density_HP:0004349,WDR35
Reduced bone mineral density_HP:0004349,WNK1
Reduced bone mineral density_HP:0004349,WNT1
Reduced bone mineral density_HP:0004349,WNT3A
Reduced bone mineral density_HP:0004349,WRAP53
Reduced bone mineral density_HP:0004349,WRN
Reduced bone mineral density_HP:0004349,WT1
Reduced bone mineral density_HP:0004349,WWOX
Reduced bone mineral density_HP:0004349,XRCC2
Reduced bone mineral density_HP:0004349,XYLT2
Reduced bone mineral density_HP:0004349,ZBTB20
Reduced bone mineral density_HP:0004349,ZFPM2
Reduced bone mineral density_HP:0004349,ZMPSTE24
Reduced bone mineral density_HP:0004349,ZNF469
Osteopenia_HP:0000938,ADAMTS2
Osteopenia_HP:0000938,ADAMTSL2
Osteopenia_HP:0000938,ADCY10
Osteopenia_HP:0000938,AEBP1
Osteopenia_HP:0000938,AIP
Osteopenia_HP:0000938,ALDH18A1
Osteopenia_HP:0000938,ALG13
Osteopenia_HP:0000938,ANAPC1
Osteopenia_HP:0000938,ANO5
Osteopenia_HP:0000938,ANTXR2
Osteopenia_HP:0000938,ATP6V0A2
Osteopenia_HP:0000938,ATP7A
Osteopenia_HP:0000938,AVP
Osteopenia_HP:0000938,B3GALT6
