symbol,log2fc,adj_p_value
H2ac12,0.818541,0.0881259
Zbtb39,-0.17316,0.0887942
Dvl1,0.15448,0.0888607
Cplane1,-0.172995,0.0898078
Id1,-0.469452,0.0904056
Bola3,0.202448,0.0904501
Myo5a,0.4446,0.091018
Zcchc14,-0.198194,0.091018
Ubxn7,-0.178002,0.0917074
Diaph3,0.699059,0.0933472
Creb3l1,0.353067,0.0936695
Lats2,-0.202045,0.0938791
Rpl8,-0.18229,0.0938791
1110032F04Rik,0.817518,0.0954674
Zfp36,0.439876,0.0954674
Has3,-0.611073,0.0956293
Nedd4,-0.0906192,0.0963766
Rpl9,-0.221463,0.0966299
Clpx,0.236026,0.0966299
Me3,-0.197228,0.0966299
Tuba1b,0.272992,0.0966299
Aspg,0.512092,0.0966299
Rpl37|Rpl37rt,-0.245178,0.0966299
Rap1gap,-0.402936,0.0975524
Vav3,-0.195808,0.0975524
H2-T-ps,0.632504,0.0975524
Ipcef1,-0.245455,0.0975524
Pdrg1,-0.140265,0.0975524
Nsun6,-0.39038,0.0975524
Gabpb2,-0.170008,0.0977698
Gzf1,-0.167712,0.0977698
Mta1,-0.132529,0.0990873
Fyn,-0.28331,0.0990873
Serpine2,0.397017,0.0990873
Rtl8b,0.216527,0.0996943
Clnk,-0.557362,0.0998687
Usp31,-0.172838,0.0998687
Cyp2c23,-0.294569,0.0998687
Eps8l1,0.642339,0.0998687
Syngr2,0.151356,0.0998687
Fads3,0.223356,0.0998687
