fips,disease,prevalence,nplaces
06097,arteriosclerosis,28.68,34
06099,arteriosclerosis,32.18,29
06101,arteriosclerosis,32.47,9
06103,arteriosclerosis,32.19,16
06105,arteriosclerosis,31.38,12
06107,arteriosclerosis,34.01,48
06109,arteriosclerosis,29.95,19
06111,arteriosclerosis,31.12,23
06113,arteriosclerosis,31.75,12
06115,arteriosclerosis,30.75,10
08001,arteriosclerosis,26.32,10
08003,arteriosclerosis,29.07,3
08005,arteriosclerosis,29.03,17
08007,arteriosclerosis,29.3,2
08009,arteriosclerosis,29.15,4
08011,arteriosclerosis,30.15,2
08013,arteriosclerosis,27.23,25
08014,arteriosclerosis,26.3,1
08015,arteriosclerosis,28.23,6
08017,arteriosclerosis,28.2,2
08019,arteriosclerosis,27.53,7
08021,arteriosclerosis,29.61,7
08023,arteriosclerosis,29.87,3
08025,arteriosclerosis,29.8,4
08027,arteriosclerosis,27.9,2
08029,arteriosclerosis,29.9,6
08031,arteriosclerosis,28.6,1
08033,arteriosclerosis,27.85,2
08035,arteriosclerosis,27.77,17
08037,arteriosclerosis,27.21,8
08039,arteriosclerosis,26.58,5
08041,arteriosclerosis,28.77,16
08043,arteriosclerosis,27.19,10
08045,arteriosclerosis,28.19,12
08047,arteriosclerosis,26.7,2
08049,arteriosclerosis,27.93,7
08051,arteriosclerosis,27.5,3
08053,arteriosclerosis,27.7,1
08055,arteriosclerosis,28.55,2
08057,arteriosclerosis,28.1,1
08059,arteriosclerosis,28.11,18
08061,arteriosclerosis,28.7,2
08063,arteriosclerosis,28.15,6
08065,arteriosclerosis,29.2,3
08067,arteriosclerosis,27.55,4
08069,arteriosclerosis,26.61,7
08071,arteriosclerosis,29.18,8
08073,arteriosclerosis,27.95,4
08075,arteriosclerosis,27.79,8
08077,arteriosclerosis,27.54,10
08079,arteriosclerosis,27.7,1
08081,arteriosclerosis,28.83,3
08083,arteriosclerosis,28.76,5
08085,arteriosclerosis,28.22,5
08087,arteriosclerosis,27.55,10
08089,arteriosclerosis,28.39,8
08091,arteriosclerosis,27.42,4
08093,arteriosclerosis,28.3,1
08095,arteriosclerosis,29.35,2
08097,arteriosclerosis,26.2,4
08099,arteriosclerosis,28.92,5
08101,arteriosclerosis,29.17,10
08103,arteriosclerosis,28.15,2
08105,arteriosclerosis,29.44,5
08107,arteriosclerosis,29.2,4
08109,arteriosclerosis,28.45,2
08111,arteriosclerosis,28.0,1
08113,arteriosclerosis,27.6,3
08115,arteriosclerosis,28.6,3
08117,arteriosclerosis,26.76,7
08119,arteriosclerosis,27.42,5
08121,arteriosclerosis,27.35,2
08123,arteriosclerosis,28.86,22
08125,arteriosclerosis,28.48,5
09001,arteriosclerosis,28.5,23
09003,arteriosclerosis,30.21,27
09005,arteriosclerosis,28.56,19
09007,arteriosclerosis,29.59,14
09009,arteriosclerosis,30.17,18
09011,arteriosclerosis,31.39,19
09013,arteriosclerosis,32.15,8
09015,arteriosclerosis,27.98,12
10001,arteriosclerosis,31.98,23
10003,arteriosclerosis,31.35,24
10005,arteriosclerosis,31.64,25
11001,arteriosclerosis,29.7,1
13001,arteriosclerosis,33.97,3
13003,arteriosclerosis,34.55,2
