fips,indicator,value
13207,food_insecurity,12.2
13209,food_insecurity,12.2
13211,food_insecurity,9.0
13213,food_insecurity,13.6
13215,food_insecurity,15.3
13217,food_insecurity,11.5
13219,food_insecurity,6.8
13221,food_insecurity,10.4
13223,food_insecurity,8.0
13225,food_insecurity,13.7
13227,food_insecurity,11.8
13229,food_insecurity,12.4
13231,food_insecurity,9.0
13233,food_insecurity,14.2
13235,food_insecurity,14.4
13237,food_insecurity,13.9
13239,food_insecurity,12.1
13241,food_insecurity,15.5
13243,food_insecurity,16.7
13245,food_insecurity,15.7
13247,food_insecurity,9.3
13249,food_insecurity,11.1
13251,food_insecurity,14.6
13253,food_insecurity,17.0
13255,food_insecurity,13.8
13257,food_insecurity,13.6
13259,food_insecurity,15.5
13261,food_insecurity,14.6
13263,food_insecurity,11.7
13265,food_insecurity,14.9
13267,food_insecurity,13.9
13269,food_insecurity,19.1
13271,food_insecurity,17.3
13273,food_insecurity,17.8
13275,food_insecurity,13.5
13277,food_insecurity,13.8
13279,food_insecurity,15.1
13281,food_insecurity,12.4
13283,food_insecurity,19.7
13285,food_insecurity,14.6
13287,food_insecurity,17.9
13289,food_insecurity,11.8
13291,food_insecurity,13.1
13293,food_insecurity,14.8
13295,food_insecurity,13.6
13297,food_insecurity,10.4
13299,food_insecurity,14.9
13301,food_insecurity,14.9
13303,food_insecurity,14.0
13305,food_insecurity,13.1
13307,food_insecurity,14.4
13309,food_insecurity,16.4
13311,food_insecurity,11.7
13313,food_insecurity,12.3
13315,food_insecurity,14.2
13317,food_insecurity,15.1
13319,food_insecurity,14.1
13321,food_insecurity,13.5
15001,food_insecurity,14.5
15003,food_insecurity,12.2
15007,food_insecurity,14.2
15009,food_insecurity,15.6
16001,food_insecurity,7.8
16003,food_insecurity,13.7
16005,food_insecurity,10.6
16007,food_insecurity,9.7
16009,food_insecurity,12.6
16011,food_insecurity,8.4
16013,food_insecurity,9.6
16015,food_insecurity,11.2
16017,food_insecurity,11.5
16019,food_insecurity,8.1
16021,food_insecurity,13.4
16023,food_insecurity,12.4
16025,food_insecurity,10.9
16027,food_insecurity,9.3
16029,food_insecurity,7.0
16031,food_insecurity,8.1
16033,food_insecurity,6.8
16035,food_insecurity,12.8
16037,food_insecurity,13.6
16039,food_insecurity,11.4
16041,food_insecurity,7.2
16043,food_insecurity,9.0
16045,food_insecurity,12.1
16047,food_insecurity,9.8
16049,food_insecurity,12.0
16051,food_insecurity,6.0
16053,food_insecurity,9.4
16055,food_insecurity,10.2
16057,food_insecurity,10.5
