entrez,n_bisphenols,bisphenols,n_assays,min_ac50
24208,5,BPA|BPAF|BPB|TBBPA|TCBPA,1,1.6754665459597
4318,5,"3,3-diMe-BPA|BPAF|BPB|TBBPA-DHEE|TCBPA",1,3.99999999974246
7077,5,"3,3-diMe-BPA|BPAF|TBBPA|TBBPA-DHEE|TCBPA",1,10.0
4283,4,BPAF|TBBPA|TBBPA-DHEE|TCBPA,5,0.499999999958532
259252,4,BPA|BPAF|BPF|BPS,2,0.194125117050175
396099,4,BPA|BPAF|BPS|TCBPA,2,0.0545484122092687
398734,4,BPA|BPF|BPS|TCBPA,2,0.189018426315689
7076,4,BPAF|TBBPA|TBBPA-DHEE|TCBPA,2,3.99999999974246
100714898,4,"3,3-diMe-BPA|BPA|BPAF|BPB",1,6.98430509865222
134,4,"3,3-diMe-BPA|BPA|BPAF|BPB",1,2.04470031126256
13982,4,BPA|BPAF|BPB|TCBPA,1,0.0685466911191333
1734,4,BADGE|BPAF|TBBPA|TCBPA,1,3.7587766223132
1735,4,BADGE|BPAF|TBBPA|TCBPA,1,3.61990867035765
24230,4,BADGE|BPA|BPAF|BPS,1,2.95085059145646
407238,4,BPA|BPAF|BPB|BPS,1,0.073795893257251
4774,4,BPAF|BPB|TBBPA|TBBPA-DHEE,1,16.3559334235418
5290,4,"3,3-diMe-BPA|BPA|TBBPA-DHEE|TCBPA",1,2.69520384908605
6095,4,BADGE|BPB|BisGMA|TBBPA,1,12.1948031788707
6257,4,BPAF|BPB|TBu-EBP|TCBPA,1,1.52120007061588
6528,4,BPA|BPAF|BPB|TBBPA,1,38.6889017489464
6531,4,"3,3-diMe-BPA|BPA|BPAF|BPB",1,1.78872801767995
6667,4,BADGE|BPAF|BPB|TBBPA,1,16.3634160411944
1555,3,BPA|BPAF|TBBPA,4,5.41699057050162
1728,3,BPAF|BPB|TBBPA,2,37.5464320493323
25601,3,BPA|BPAF|BPB,2,17.0909166701364
3020,3,BPA|BPB|TBBPA,2,72.2231175247163
3383,3,TBBPA|TBBPA-DHEE|TCBPA,2,3.99999999974246
397942,3,BPS|TBBPA|TCBPA,2,3.67212487090923
5728,3,BPB|TBBPA|TBu-EBP,2,5.80009221745846
100135548,3,BPA|BPAF|BPB,1,13.9729679240127
100379538,3,BPA|BPAF|BPB,1,0.455557921186535
100848466,3,BPA|BPAF|BPB,1,10.861917813803
1733,3,BADGE|TBBPA|TCBPA,1,1.42236461119561
25549,3,BPA|BPAF|BPB,1,7.37266601468711
2735,3,"3,3-diMe-BPA|TBBPA|TCBPA",1,41.2049310259921
3362,3,BPA|BPAF|BPB,1,0.338992791607789
3500,3,"3,3-diMe-BPA|TBBPA-DHEE|TBu-EBP",1,3.99999999974246
4985,3,BPA|BPAF|BPB,1,14.6089489342171
4988,3,BPA|BPAF|BPB,1,5.93344785634163
5327,3,"3,3-diMe-BPA|BPA|BPAF",1,20.0000000016587
58,3,"3,3-diMe-BPA|TBBPA-DHEE|TCBPA",1,10.0
6288,3,"3,3-diMe-BPA|BPAF|TCBPA",1,20.0000000016587
6530,3,"3,3-diMe-BPA|BPAF|BPB",1,8.28219100424758
6656,3,"3,3-diMe-BPA|BisGMA|TBBPA",1,24.1866607838041
8647,3,BPAF|BPB|TBBPA,1,10.5420880372855
1543,2,BPA|BPAF,3,0.0046646730364282
1576,2,BPA|BPAF,3,8.23452103146441
132,2,BPB|TBBPA,2,40.1729412002676
1551,2,BPA|TBBPA,2,11.8049349015661
1579,2,BPAF|BPB,2,40.4455504042996
196,2,BPA|BPAF,2,5.09771640930315
2309,2,BPB|TBBPA,2,81.7441689415169
24408,2,BPAF|BPB,2,17.9912916998151
30670,2,BPA|TCBPA,2,11.8733893105988
