sym,goid,goLabel
ACOX1,GO_0000038,very long-chain fatty acid metabolic process
H2AX,GO_0000077,DNA damage checkpoint signaling
MYC,GO_0000082,G1/S transition of mitotic cell cycle
CDKN1A,GO_0000082,G1/S transition of mitotic cell cycle
CCND1,GO_0000082,G1/S transition of mitotic cell cycle
FOXO3,GO_0000122,negative regulation of transcription by RNA polymerase II
ESR1,GO_0000122,negative regulation of transcription by RNA polymerase II
NR3C1,GO_0000122,negative regulation of transcription by RNA polymerase II
TP53,GO_0000122,negative regulation of transcription by RNA polymerase II
MYC,GO_0000122,negative regulation of transcription by RNA polymerase II
TNF,GO_0000122,negative regulation of transcription by RNA polymerase II
HSPA1A,GO_0000122,negative regulation of transcription by RNA polymerase II
AR,GO_0000122,negative regulation of transcription by RNA polymerase II
SRC,GO_0000122,negative regulation of transcription by RNA polymerase II
VDR,GO_0000122,negative regulation of transcription by RNA polymerase II
EZR,GO_0000122,negative regulation of transcription by RNA polymerase II
ESRRA,GO_0000122,negative regulation of transcription by RNA polymerase II
JUN,GO_0000122,negative regulation of transcription by RNA polymerase II
DDIT3,GO_0000122,negative regulation of transcription by RNA polymerase II
PPARG,GO_0000122,negative regulation of transcription by RNA polymerase II
PAX6,GO_0000122,negative regulation of transcription by RNA polymerase II
CEBPB,GO_0000122,negative regulation of transcription by RNA polymerase II
RXRA,GO_0000122,negative regulation of transcription by RNA polymerase II
CCND1,GO_0000122,negative regulation of transcription by RNA polymerase II
PPARD,GO_0000122,negative regulation of transcription by RNA polymerase II
FOXO1,GO_0000122,negative regulation of transcription by RNA polymerase II
ESR2,GO_0000122,negative regulation of transcription by RNA polymerase II
PPARA,GO_0000122,negative regulation of transcription by RNA polymerase II
NR4A2,GO_0000122,negative regulation of transcription by RNA polymerase II
HSF1,GO_0000122,negative regulation of transcription by RNA polymerase II
SHH,GO_0000122,negative regulation of transcription by RNA polymerase II
NR1H4,GO_0000122,negative regulation of transcription by RNA polymerase II
RORC,GO_0000122,negative regulation of transcription by RNA polymerase II
MYC,GO_0000165,MAPK cascade
HSF1,GO_0000165,MAPK cascade
NQO1,GO_0000209,protein polyubiquitination
HGF,GO_0000278,mitotic cell cycle
CAT,GO_0000302,response to reactive oxygen species
HIF1A,GO_0000302,response to reactive oxygen species
VDR,GO_0000902,cell morphogenesis
NFIA,GO_0000902,cell morphogenesis
COL1A1,GO_0001501,skeletal system development
COL1A1,GO_0001503,ossification
SLC6A3,GO_0001504,neurotransmitter uptake
LDLR,GO_0001523,retinoid metabolic process
LPL,GO_0001523,retinoid metabolic process
COL4A1,GO_0001525,angiogenesis
EGF,GO_0001525,angiogenesis
SERPINE1,GO_0001525,angiogenesis
FGF2,GO_0001525,angiogenesis
CCL2,GO_0001525,angiogenesis
CXCL8,GO_0001525,angiogenesis
KDR,GO_0001525,angiogenesis
XBP1,GO_0001525,angiogenesis
RORA,GO_0001525,angiogenesis
PIK3CA,GO_0001525,angiogenesis
CEBPB,GO_0001541,ovarian follicle development
CASP3,GO_0001554,luteolysis
COL1A1,GO_0001568,blood vessel development
PAX6,GO_0001568,blood vessel development
AHR,GO_0001568,blood vessel development
COL4A1,GO_0001569,branching involved in blood vessel morphogenesis
SHH,GO_0001569,branching involved in blood vessel morphogenesis
TGFB1,GO_0001570,vasculogenesis
KDR,GO_0001570,vasculogenesis
SHH,GO_0001570,vasculogenesis
COL1A1,GO_0001649,osteoblast differentiation
CAT,GO_0001649,osteoblast differentiation
GLI1,GO_0001649,osteoblast differentiation
FASN,GO_0001649,osteoblast differentiation
NR1I3,GO_0001649,osteoblast differentiation
CYP24A1,GO_0001649,osteoblast differentiation
ATF6,GO_0001654,eye development
PAX6,GO_0001654,eye development
SHH,GO_0001656,metanephros development
TGFB1,GO_0001657,ureteric bud development
CAT,GO_0001657,ureteric bud development
MYC,GO_0001658,branching involved in ureteric bud morphogenesis
FGF2,GO_0001658,branching involved in ureteric bud morphogenesis
SHH,GO_0001658,branching involved in ureteric bud morphogenesis
DRD2,GO_0001659,temperature homeostasis
ADORA1,GO_0001659,temperature homeostasis
FOXO1,GO_0001659,temperature homeostasis
FOS,GO_0001661,conditioned taste aversion
DRD4,GO_0001662,behavioral fear response
HTR2C,GO_0001662,behavioral fear response
CYP1A1,GO_0001666,response to hypoxia
TNF,GO_0001666,response to hypoxia
CAT,GO_0001666,response to hypoxia
TGFB1,GO_0001666,response to hypoxia
DRD2,GO_0001666,response to hypoxia
EGR1,GO_0001666,response to hypoxia
ADORA1,GO_0001666,response to hypoxia
VCAM1,GO_0001666,response to hypoxia
CD38,GO_0001666,response to hypoxia
PPARA,GO_0001666,response to hypoxia
HIF1A,GO_0001666,response to hypoxia
CASP3,GO_0001666,response to hypoxia
PRKAA1,GO_0001666,response to hypoxia
CYP1A1,GO_0001676,long-chain fatty acid metabolic process
CYP2E1,GO_0001676,long-chain fatty acid metabolic process
CYP2C19,GO_0001676,long-chain fatty acid metabolic process
FOXO1,GO_0001678,intracellular glucose homeostasis
NR1H4,GO_0001678,intracellular glucose homeostasis
HIF1A,GO_0001678,intracellular glucose homeostasis
COL3A1,GO_0001701,in utero embryonic development
SHH,GO_0001708,cell fate specification
SHH,GO_0001755,neural crest cell migration
TGFB1,GO_0001763,morphogenesis of a branching structure
COL3A1,GO_0001764,neuron migration
NR4A2,GO_0001764,neuron migration
TNF,GO_0001774,microglial cell activation
IL6,GO_0001781,neutrophil apoptotic process
BAX,GO_0001783,B cell apoptotic process
CASP3,GO_0001818,negative regulation of cytokine production
TNF,GO_0001819,positive regulation of cytokine production
CAT,GO_0001822,kidney development
HMGCS2,GO_0001822,kidney development
BAX,GO_0001836,release of cytochrome c from mitochondria
TGFB1,GO_0001837,epithelial to mesenchymal transition
HGF,GO_0001837,epithelial to mesenchymal transition
HIF1A,GO_0001837,epithelial to mesenchymal transition
TGFB1,GO_0001843,neural tube closure
MYC,GO_0001866,NK T cell proliferation
CYP1A1,GO_0001889,liver development
RARA,GO_0001889,liver development
CCND1,GO_0001889,liver development
CEBPB,GO_0001889,liver development
XBP1,GO_0001889,liver development
HMGCS2,GO_0001889,liver development
PPARG,GO_0001890,placenta development
COL3A1,GO_0001894,tissue homeostasis
ICAM1,GO_0001910,regulation of leukocyte mediated cytotoxicity
HLA-DRA,GO_0001916,positive regulation of T cell mediated cytotoxicity
LDLR,GO_0001920,negative regulation of receptor recycling
CDKN1A,GO_0001933,negative regulation of protein phosphorylation
MMP9,GO_0001934,positive regulation of protein phosphorylation
CDKN1A,GO_0001934,positive regulation of protein phosphorylation
KDR,GO_0001934,positive regulation of protein phosphorylation
PLAUR,GO_0001934,positive regulation of protein phosphorylation
XBP1,GO_0001935,endothelial cell proliferation
TNF,GO_0001937,negative regulation of endothelial cell proliferation
EGF,GO_0001938,positive regulation of endothelial cell proliferation
F3,GO_0001938,positive regulation of endothelial cell proliferation
FGF2,GO_0001938,positive regulation of endothelial cell proliferation
KDR,GO_0001938,positive regulation of endothelial cell proliferation
HIF1A,GO_0001938,positive regulation of endothelial cell proliferation
KDR,GO_0001944,vasculature development
PIK3CA,GO_0001944,vasculature development
SHH,GO_0001947,heart looping
EZR,GO_0001951,intestinal D-glucose absorption
CSF1,GO_0001954,positive regulation of cell-matrix adhesion
DDIT3,GO_0001955,blood vessel maturation
IL6,GO_0001960,negative regulation of cytokine-mediated signaling pathway
DRD2,GO_0001963,"synaptic transmission, dopaminergic"
DRD1,GO_0001963,"synaptic transmission, dopaminergic"
DRD4,GO_0001963,"synaptic transmission, dopaminergic"
ADORA2A,GO_0001973,G protein-coupled adenosine receptor signaling pathway
ADORA1,GO_0001973,G protein-coupled adenosine receptor signaling pathway
TNF,GO_0001975,response to amphetamine
DRD2,GO_0001975,response to amphetamine
DRD4,GO_0001975,response to amphetamine
DRD2,GO_0001976,nervous system process involved in regulation of systemic arterial blood pressure
ADRB1,GO_0001996,positive regulation of heart rate by epinephrine-norepinephrine
DRD2,GO_0002027,regulation of heart rate
DRD2,GO_0002028,regulation of sodium ion transport
DRD2,GO_0002031,G protein-coupled receptor internalization
TNF,GO_0002037,negative regulation of L-glutamate import across plasma membrane
FGF2,GO_0002042,cell migration involved in sprouting angiogenesis
DRD2,GO_0002052,positive regulation of neuroblast proliferation
MYC,GO_0002053,positive regulation of mesenchymal cell proliferation
TGFB1,GO_0002062,chondrocyte differentiation
COL3A1,GO_0002062,chondrocyte differentiation
ADORA1,GO_0002087,regulation of respiratory gaseous exchange by nervous system process
EGF,GO_0002092,positive regulation of receptor internalization
DRD2,GO_0002092,positive regulation of receptor internalization
SELE,GO_0002092,positive regulation of receptor internalization
THRA,GO_0002157,positive regulation of thyroid hormone receptor signaling pathway
THRB,GO_0002157,positive regulation of thyroid hormone receptor signaling pathway
RXRA,GO_0002157,positive regulation of thyroid hormone receptor signaling pathway
SRC,GO_0002223,stimulatory C-type lectin receptor signaling pathway
IL17A,GO_0002225,positive regulation of antimicrobial peptide production
CXCL8,GO_0002237,response to molecule of bacterial origin
TP53,GO_0002244,hematopoietic progenitor cell differentiation
TGFB1,GO_0002244,hematopoietic progenitor cell differentiation
TGFB1,GO_0002248,connective tissue replacement involved in inflammatory response wound healing
HIF1A,GO_0002248,connective tissue replacement involved in inflammatory response wound healing
HLA-DRA,GO_0002250,adaptive immune response
IL17A,GO_0002250,adaptive immune response
IL2,GO_0002250,adaptive immune response
ICAM1,GO_0002252,immune effector process
TNF,GO_0002281,macrophage activation involved in immune response
ICAM1,GO_0002291,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
IL6,GO_0002314,germinal center B cell differentiation
SHH,GO_0002320,lymphoid progenitor cell differentiation
IL2,GO_0002366,leukocyte activation involved in immune response
HLA-DRA,GO_0002376,immune system process
MMP3,GO_0002376,immune system process
SRC,GO_0002376,immune system process
CSF1,GO_0002376,immune system process
CD40,GO_0002376,immune system process
IL17A,GO_0002376,immune system process
IL2,GO_0002376,immune system process
NR1H4,GO_0002376,immune system process
IL6,GO_0002384,hepatic immune response
IL6R,GO_0002384,hepatic immune response
TNF,GO_0002439,chronic inflammatory response to antigenic stimulus
IL6,GO_0002446,neutrophil mediated immunity
TGFB1,GO_0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
HLA-DRA,GO_0002469,myeloid dendritic cell antigen processing and presentation
HLA-DRA,GO_0002491,antigen processing and presentation of endogenous peptide antigen via MHC class II
HLA-DRA,GO_0002503,peptide antigen assembly with MHC class II protein complex
HLA-DRA,GO_0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
SELE,GO_0002523,leukocyte migration involved in inflammatory response
F3,GO_0002541,activation of plasma proteins involved in acute inflammatory response
F3,GO_0002543,activation of blood coagulation via clotting cascade
VCAM1,GO_0002544,chronic inflammatory response
CCL2,GO_0002548,monocyte chemotaxis
IL6,GO_0002548,monocyte chemotaxis
IL6R,GO_0002548,monocyte chemotaxis
TNF,GO_0002639,positive regulation of immunoglobulin production
IL6,GO_0002639,positive regulation of immunoglobulin production
XBP1,GO_0002639,positive regulation of immunoglobulin production
ADORA1,GO_0002674,negative regulation of acute inflammatory response
IL6,GO_0002675,positive regulation of acute inflammatory response
CSF1,GO_0002687,positive regulation of leukocyte migration
IL6,GO_0002690,positive regulation of leukocyte chemotaxis
IL6R,GO_0002690,positive regulation of leukocyte chemotaxis
ICAM1,GO_0002693,positive regulation of cellular extravasation
TNF,GO_0002700,regulation of production of molecular mediator of immune response
TNF,GO_0002719,negative regulation of cytokine production involved in immune response
ADORA1,GO_0002793,positive regulation of peptide secretion
AHR,GO_0002819,regulation of adaptive immune response
AHR,GO_0002841,negative regulation of T cell mediated immune response to tumor cell
PRKAA1,GO_0002842,positive regulation of T cell mediated immune response to tumor cell
TGFB1,GO_0002859,negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target
SRC,GO_0002862,negative regulation of inflammatory response to antigenic stimulus
CSF1,GO_0002931,response to ischemia
EGR1,GO_0002931,response to ischemia
NFE2L2,GO_0002931,response to ischemia
CYP1A1,GO_0002933,lipid hydroxylation
CYP3A4,GO_0002933,lipid hydroxylation
CYP2E1,GO_0002933,lipid hydroxylation
CSF1,GO_0003006,developmental process involved in reproduction
TNF,GO_0003009,skeletal muscle contraction
ADORA1,GO_0003084,positive regulation of systemic arterial blood pressure
TNF,GO_0003085,negative regulation of systemic arterial blood pressure
ADORA1,GO_0003085,negative regulation of systemic arterial blood pressure
SHH,GO_0003140,determination of left/right asymmetry in lateral mesoderm
KDR,GO_0003157,endocardium development
KDR,GO_0003158,endothelium development
TNFRSF1A,GO_0003176,aortic valve development
TNFRSF1A,GO_0003177,pulmonary valve development
TGFB1,GO_0003179,heart valve morphogenesis
TGFB1,GO_0003180,aortic valve morphogenesis
PAX6,GO_0003322,pancreatic A cell development
TNFRSF1A,GO_0003332,negative regulation of extracellular matrix constituent secretion
EZR,GO_0003376,sphingosine-1-phosphate receptor signaling pathway
FOS,GO_0003407,neural retina development
PPARD,GO_0006006,glucose metabolic process
PPARD,GO_0006029,proteoglycan metabolic process
CYP24A1,GO_0006066,alcohol metabolic process
HMGCS2,GO_0006084,acetyl-CoA metabolic process
FASN,GO_0006084,acetyl-CoA metabolic process
ACOX1,GO_0006091,generation of precursor metabolites and energy
PPARD,GO_0006091,generation of precursor metabolites and energy
SDHB,GO_0006099,tricarboxylic acid cycle
SDHB,GO_0006105,succinate metabolic process
HIF1A,GO_0006110,regulation of glycolytic process
SDHB,GO_0006121,"mitochondrial electron transport, succinate to ubiquinone"
ADK,GO_0006144,purine nucleobase metabolic process
ADK,GO_0006166,purine ribonucleoside salvage
ADK,GO_0006170,dAMP biosynthetic process
REV3L,GO_0006260,DNA replication
NFIA,GO_0006260,DNA replication
REV3L,GO_0006261,DNA-templated DNA replication
REV3L,GO_0006281,DNA repair
H2AX,GO_0006281,DNA repair
HSF1,GO_0006281,DNA repair
TP53,GO_0006289,nucleotide-excision repair
H2AX,GO_0006302,double-strand break repair
H2AX,GO_0006310,DNA recombination
TNF,GO_0006325,chromatin organization
NR3C1,GO_0006325,chromatin organization
FGF2,GO_0006325,chromatin organization
PRKAA1,GO_0006325,chromatin organization
H2AX,GO_0006334,nucleosome assembly
MYC,GO_0006338,chromatin remodeling
ESR1,GO_0006338,chromatin remodeling
PAX6,GO_0006338,chromatin remodeling
PRKAA1,GO_0006338,chromatin remodeling
SIRT3,GO_0006338,chromatin remodeling
THRB,GO_0006351,DNA-templated transcription
CEBPB,GO_0006351,DNA-templated transcription
NR4A2,GO_0006351,DNA-templated transcription
NR3C1,GO_0006355,regulation of DNA-templated transcription
MYC,GO_0006355,regulation of DNA-templated transcription
TP53,GO_0006355,regulation of DNA-templated transcription
CREB3,GO_0006355,regulation of DNA-templated transcription
NR1I2,GO_0006355,regulation of DNA-templated transcription
ESR1,GO_0006355,regulation of DNA-templated transcription
FOXO3,GO_0006355,regulation of DNA-templated transcription
FOS,GO_0006355,regulation of DNA-templated transcription
SP1,GO_0006355,regulation of DNA-templated transcription
THRB,GO_0006355,regulation of DNA-templated transcription
THRA,GO_0006355,regulation of DNA-templated transcription
RARA,GO_0006355,regulation of DNA-templated transcription
VDR,GO_0006355,regulation of DNA-templated transcription
ESRRA,GO_0006355,regulation of DNA-templated transcription
GLI1,GO_0006355,regulation of DNA-templated transcription
AR,GO_0006355,regulation of DNA-templated transcription
PGR,GO_0006355,regulation of DNA-templated transcription
POU2F1,GO_0006355,regulation of DNA-templated transcription
JUN,GO_0006355,regulation of DNA-templated transcription
PAX6,GO_0006355,regulation of DNA-templated transcription
ATF6,GO_0006355,regulation of DNA-templated transcription
XBP1,GO_0006355,regulation of DNA-templated transcription
RORA,GO_0006355,regulation of DNA-templated transcription
AHR,GO_0006355,regulation of DNA-templated transcription
PPARG,GO_0006355,regulation of DNA-templated transcription
RXRB,GO_0006355,regulation of DNA-templated transcription
RXRA,GO_0006355,regulation of DNA-templated transcription
CEBPB,GO_0006355,regulation of DNA-templated transcription
DDIT3,GO_0006355,regulation of DNA-templated transcription
ADORA2A,GO_0006355,regulation of DNA-templated transcription
NFIA,GO_0006355,regulation of DNA-templated transcription
RORC,GO_0006355,regulation of DNA-templated transcription
PPARD,GO_0006355,regulation of DNA-templated transcription
NR1I3,GO_0006355,regulation of DNA-templated transcription
FOXO1,GO_0006355,regulation of DNA-templated transcription
NR4A2,GO_0006355,regulation of DNA-templated transcription
NFE2L2,GO_0006355,regulation of DNA-templated transcription
HSF1,GO_0006355,regulation of DNA-templated transcription
ESR2,GO_0006355,regulation of DNA-templated transcription
PPARA,GO_0006355,regulation of DNA-templated transcription
HIF1A,GO_0006355,regulation of DNA-templated transcription
HNF4A,GO_0006355,regulation of DNA-templated transcription
NR1H4,GO_0006355,regulation of DNA-templated transcription
CREB3,GO_0006357,regulation of transcription by RNA polymerase II
TP53,GO_0006357,regulation of transcription by RNA polymerase II
FOXO3,GO_0006357,regulation of transcription by RNA polymerase II
FOS,GO_0006357,regulation of transcription by RNA polymerase II
JUN,GO_0006357,regulation of transcription by RNA polymerase II
THRA,GO_0006357,regulation of transcription by RNA polymerase II
SP1,GO_0006357,regulation of transcription by RNA polymerase II
GLI1,GO_0006357,regulation of transcription by RNA polymerase II
ATF6,GO_0006357,regulation of transcription by RNA polymerase II
CCND1,GO_0006357,regulation of transcription by RNA polymerase II
PPARG,GO_0006357,regulation of transcription by RNA polymerase II
DDIT3,GO_0006357,regulation of transcription by RNA polymerase II
SREBF1,GO_0006357,regulation of transcription by RNA polymerase II
AHR,GO_0006357,regulation of transcription by RNA polymerase II
CEBPB,GO_0006357,regulation of transcription by RNA polymerase II
XBP1,GO_0006357,regulation of transcription by RNA polymerase II
RORA,GO_0006357,regulation of transcription by RNA polymerase II
HSF1,GO_0006357,regulation of transcription by RNA polymerase II
NFE2L2,GO_0006357,regulation of transcription by RNA polymerase II
HNF4A,GO_0006357,regulation of transcription by RNA polymerase II
HIF1A,GO_0006357,regulation of transcription by RNA polymerase II
FOXO1,GO_0006357,regulation of transcription by RNA polymerase II
NRF1,GO_0006357,regulation of transcription by RNA polymerase II
NR1H4,GO_0006357,regulation of transcription by RNA polymerase II
PPARD,GO_0006357,regulation of transcription by RNA polymerase II
FOS,GO_0006366,transcription by RNA polymerase II
THRA,GO_0006366,transcription by RNA polymerase II
XBP1,GO_0006366,transcription by RNA polymerase II
FOXO3,GO_0006390,mitochondrial transcription
HSF1,GO_0006397,mRNA processing
HSPA1A,GO_0006402,mRNA catabolic process
FOXO3,GO_0006417,regulation of translation
ATF6,GO_0006457,protein folding
RARA,GO_0006468,protein phosphorylation
CCL2,GO_0006468,protein phosphorylation
PTEN,GO_0006470,protein dephosphorylation
FOXO1,GO_0006473,protein acetylation
SIRT3,GO_0006476,protein deacetylation
PLAT,GO_0006508,proteolysis
PLAU,GO_0006508,proteolysis
MMP1,GO_0006508,proteolysis
HGF,GO_0006508,proteolysis
MMP9,GO_0006508,proteolysis
MMP10,GO_0006508,proteolysis
THBD,GO_0006508,proteolysis
F3,GO_0006508,proteolysis
MMP3,GO_0006508,proteolysis
CASP3,GO_0006508,proteolysis
SHH,GO_0006508,proteolysis
XBP1,GO_0006511,ubiquitin-dependent protein catabolic process
TGFB1,GO_0006611,protein export from nucleus
ADORA1,GO_0006612,protein targeting to membrane
CYP1A1,GO_0006629,lipid metabolic process
LDLR,GO_0006629,lipid metabolic process
CYP1A2,GO_0006629,lipid metabolic process
CYP3A4,GO_0006629,lipid metabolic process
CYP2C9,GO_0006629,lipid metabolic process
CYP19A1,GO_0006629,lipid metabolic process
CYP2E1,GO_0006629,lipid metabolic process
LPL,GO_0006629,lipid metabolic process
SREBF1,GO_0006629,lipid metabolic process
UGT1A1,GO_0006629,lipid metabolic process
XBP1,GO_0006629,lipid metabolic process
CYP2C18,GO_0006629,lipid metabolic process
CYP2C19,GO_0006629,lipid metabolic process
CYP2B6,GO_0006629,lipid metabolic process
FASN,GO_0006629,lipid metabolic process
HMGCS2,GO_0006629,lipid metabolic process
CYP24A1,GO_0006629,lipid metabolic process
ACOX1,GO_0006629,lipid metabolic process
CYP2J2,GO_0006629,lipid metabolic process
PRKAA1,GO_0006629,lipid metabolic process
PIK3CA,GO_0006629,lipid metabolic process
PTEN,GO_0006629,lipid metabolic process
PPARD,GO_0006629,lipid metabolic process
CYP1A1,GO_0006631,fatty acid metabolic process
ABCB11,GO_0006631,fatty acid metabolic process
CYP1A2,GO_0006631,fatty acid metabolic process
CYP2E1,GO_0006631,fatty acid metabolic process
LPL,GO_0006631,fatty acid metabolic process
CYP3A4,GO_0006631,fatty acid metabolic process
CYP2C19,GO_0006631,fatty acid metabolic process
FASN,GO_0006631,fatty acid metabolic process
PPARA,GO_0006631,fatty acid metabolic process
PRKAA1,GO_0006631,fatty acid metabolic process
CYP2J2,GO_0006631,fatty acid metabolic process
ACOX1,GO_0006631,fatty acid metabolic process
LPL,GO_0006633,fatty acid biosynthetic process
XBP1,GO_0006633,fatty acid biosynthetic process
FASN,GO_0006633,fatty acid biosynthetic process
PRKAA1,GO_0006633,fatty acid biosynthetic process
ACOX1,GO_0006633,fatty acid biosynthetic process
PPARD,GO_0006635,fatty acid beta-oxidation
ACOX1,GO_0006635,fatty acid beta-oxidation
LPL,GO_0006641,triglyceride metabolic process
LPL,GO_0006644,phospholipid metabolic process
PTEN,GO_0006661,phosphatidylinositol biosynthetic process
CYP2J2,GO_0006690,icosanoid metabolic process
TNFRSF1A,GO_0006693,prostaglandin metabolic process
ACOX1,GO_0006693,prostaglandin metabolic process
CYP1A1,GO_0006694,steroid biosynthetic process
CYP3A4,GO_0006694,steroid biosynthetic process
CYP19A1,GO_0006694,steroid biosynthetic process
TSPO,GO_0006694,steroid biosynthetic process
HMGCS2,GO_0006694,steroid biosynthetic process
PRKAA1,GO_0006694,steroid biosynthetic process
HMGCS2,GO_0006695,cholesterol biosynthetic process
PRKAA1,GO_0006695,cholesterol biosynthetic process
ABCB11,GO_0006699,bile acid biosynthetic process
TSPO,GO_0006700,C21-steroid hormone biosynthetic process
CYP19A1,GO_0006703,estrogen biosynthetic process
CYP1A2,GO_0006706,steroid catabolic process
CYP3A4,GO_0006706,steroid catabolic process
CYP19A1,GO_0006710,androgen catabolic process
CYP2C9,GO_0006721,terpenoid metabolic process
CYP2C19,GO_0006721,terpenoid metabolic process
CYP2C18,GO_0006721,terpenoid metabolic process
NQO1,GO_0006743,ubiquinone metabolic process
GSTA2,GO_0006749,glutathione metabolic process
TGFB1,GO_0006754,ATP biosynthetic process
CYP24A1,GO_0006766,vitamin metabolic process
CYP1A1,GO_0006778,porphyrin-containing compound metabolic process
TSPO,GO_0006783,heme biosynthetic process
UGT1A1,GO_0006789,bilirubin conjugation
TGFB1,GO_0006796,phosphate-containing compound metabolic process
SLC22A1,GO_0006805,xenobiotic metabolic process
CYP1A1,GO_0006805,xenobiotic metabolic process
CYP1A2,GO_0006805,xenobiotic metabolic process
ABCC3,GO_0006805,xenobiotic metabolic process
NR1I2,GO_0006805,xenobiotic metabolic process
ABCB11,GO_0006805,xenobiotic metabolic process
CYP2C9,GO_0006805,xenobiotic metabolic process
CYP3A4,GO_0006805,xenobiotic metabolic process
NQO1,GO_0006805,xenobiotic metabolic process
CYP2E1,GO_0006805,xenobiotic metabolic process
RORA,GO_0006805,xenobiotic metabolic process
CYP2C19,GO_0006805,xenobiotic metabolic process
CYP2B6,GO_0006805,xenobiotic metabolic process
AHR,GO_0006805,xenobiotic metabolic process
UGT1A1,GO_0006805,xenobiotic metabolic process
CYP2C18,GO_0006805,xenobiotic metabolic process
RORC,GO_0006805,xenobiotic metabolic process
SLCO1B1,GO_0006805,xenobiotic metabolic process
CYP2J2,GO_0006805,xenobiotic metabolic process
NQO1,GO_0006809,nitric oxide biosynthetic process
SLC22A1,GO_0006811,monoatomic ion transport
TSPO,GO_0006811,monoatomic ion transport
SLCO1B1,GO_0006811,monoatomic ion transport
TSPO,GO_0006820,monoatomic anion transport
TSPO,GO_0006821,chloride transport
SLC22A1,GO_0006836,neurotransmitter transport
SLC6A2,GO_0006836,neurotransmitter transport
SLC6A3,GO_0006836,neurotransmitter transport
SLC22A1,GO_0006837,serotonin transport
ABCB11,GO_0006855,xenobiotic transmembrane transport
ABCC3,GO_0006855,xenobiotic transmembrane transport
ABCB11,GO_0006869,lipid transport
ABCC3,GO_0006869,lipid transport
LDLR,GO_0006869,lipid transport
FABP1,GO_0006869,lipid transport
TSPO,GO_0006869,lipid transport
ABCG2,GO_0006869,lipid transport
SLCO1B1,GO_0006869,lipid transport
CD40,GO_0006874,intracellular calcium ion homeostasis
DRD4,GO_0006874,intracellular calcium ion homeostasis
HTR2C,GO_0006874,intracellular calcium ion homeostasis
MYC,GO_0006879,intracellular iron ion homeostasis
PDK4,GO_0006885,regulation of pH
LDLR,GO_0006897,endocytosis
LDLR,GO_0006898,receptor-mediated endocytosis
ADRB2,GO_0006898,receptor-mediated endocytosis
LDLR,GO_0006909,phagocytosis
ADORA2A,GO_0006909,phagocytosis
ADORA1,GO_0006909,phagocytosis
PIK3CA,GO_0006909,phagocytosis
TP53,GO_0006914,autophagy
DRD2,GO_0006914,autophagy
XBP1,GO_0006914,autophagy
PRKAA1,GO_0006914,autophagy
FOXO1,GO_0006914,autophagy
TGFB1,GO_0006915,apoptotic process
NR3C1,GO_0006915,apoptotic process
BCL2L11,GO_0006915,apoptotic process
FOXO3,GO_0006915,apoptotic process
TP53,GO_0006915,apoptotic process
XBP1,GO_0006915,apoptotic process
TNFRSF1A,GO_0006915,apoptotic process
FAS,GO_0006915,apoptotic process
ADORA2A,GO_0006915,apoptotic process
AHR,GO_0006915,apoptotic process
DDIT3,GO_0006915,apoptotic process
IL17A,GO_0006915,apoptotic process
CASP3,GO_0006915,apoptotic process
PPARD,GO_0006915,apoptotic process
PEG10,GO_0006915,apoptotic process
PTEN,GO_0006915,apoptotic process
FOXO1,GO_0006915,apoptotic process
BAX,GO_0006915,apoptotic process
PLAU,GO_0006935,chemotaxis
CREB3,GO_0006935,chemotaxis
FGF2,GO_0006935,chemotaxis
CXCL8,GO_0006935,chemotaxis
CCL2,GO_0006935,chemotaxis
PLAUR,GO_0006935,chemotaxis
ACTA1,GO_0006936,muscle contraction
HTR7,GO_0006939,smooth muscle contraction
ADRB2,GO_0006940,regulation of smooth muscle contraction
ADRA2C,GO_0006940,regulation of smooth muscle contraction
CYP19A1,GO_0006949,syncytium formation
F3,GO_0006950,response to stress
CXCL8,GO_0006952,defense response
CD40,GO_0006952,defense response
IL6,GO_0006953,acute-phase response
IL6R,GO_0006953,acute-phase response
CEBPB,GO_0006953,acute-phase response
FOS,GO_0006954,inflammatory response
TNF,GO_0006954,inflammatory response
CSF1,GO_0006954,inflammatory response
CXCL8,GO_0006954,inflammatory response
IL6,GO_0006954,inflammatory response
IL6R,GO_0006954,inflammatory response
CCL2,GO_0006954,inflammatory response
ADORA2A,GO_0006954,inflammatory response
VCAM1,GO_0006954,inflammatory response
CEBPB,GO_0006954,inflammatory response
ADORA1,GO_0006954,inflammatory response
TNFRSF1A,GO_0006954,inflammatory response
CD40,GO_0006954,inflammatory response
SELE,GO_0006954,inflammatory response
IL17A,GO_0006954,inflammatory response
NR1H4,GO_0006954,inflammatory response
TNF,GO_0006955,immune response
HLA-DRA,GO_0006955,immune response
CXCL8,GO_0006955,immune response
IL6,GO_0006955,immune response
ICAM1,GO_0006955,immune response
CCL2,GO_0006955,immune response
CEBPB,GO_0006955,immune response
XBP1,GO_0006955,immune response
FAS,GO_0006955,immune response
OPRD1,GO_0006955,immune response
IL2,GO_0006955,immune response
IL17A,GO_0006955,immune response
IL6,GO_0006959,humoral immune response
CCL2,GO_0006959,humoral immune response
