sym,goid,goLabel
SRC,GO_0034614,cellular response to reactive oxygen species
MMP3,GO_0034614,cellular response to reactive oxygen species
TGFB1,GO_0034616,response to laminar fluid shear stress
HSPA1A,GO_0034620,cellular response to unfolded protein
HSF1,GO_0034620,cellular response to unfolded protein
BAX,GO_0034620,cellular response to unfolded protein
MYC,GO_0034644,cellular response to UV
TP53,GO_0034644,cellular response to UV
HMGCS2,GO_0034696,response to prostaglandin F
DRD2,GO_0034776,response to histamine
DRD4,GO_0034776,response to histamine
BCL2L11,GO_0034976,response to endoplasmic reticulum stress
JUN,GO_0034976,response to endoplasmic reticulum stress
CXCL8,GO_0034976,response to endoplasmic reticulum stress
ATF6,GO_0034976,response to endoplasmic reticulum stress
DDIT3,GO_0034976,response to endoplasmic reticulum stress
XBP1,GO_0034976,response to endoplasmic reticulum stress
CEBPB,GO_0034976,response to endoplasmic reticulum stress
NFE2L2,GO_0034976,response to endoplasmic reticulum stress
SIRT3,GO_0034983,peptidyl-lysine deacetylation
SRC,GO_0035022,positive regulation of Rac protein signal transduction
COL3A1,GO_0035025,positive regulation of Rho protein signal transduction
DRD2,GO_0035094,response to nicotine
VCAM1,GO_0035094,response to nicotine
OPRD1,GO_0035094,response to nicotine
CASP3,GO_0035094,response to nicotine
SLC6A3,GO_0035094,response to nicotine
PPARA,GO_0035095,behavioral response to nicotine
NFIA,GO_0035108,limb morphogenesis
KDR,GO_0035162,embryonic hemopoiesis
DRD4,GO_0035176,social behavior
PTEN,GO_0035176,social behavior
NR3C1,GO_0035249,"synaptic transmission, glutamatergic"
ADORA2A,GO_0035249,"synaptic transmission, glutamatergic"
COL3A1,GO_0035264,multicellular organism growth
SHH,GO_0035295,tube development
DRD2,GO_0035305,negative regulation of dephosphorylation
SRC,GO_0035306,positive regulation of dephosphorylation
ADORA1,GO_0035306,positive regulation of dephosphorylation
SRC,GO_0035331,negative regulation of hippo signaling
DUSP3,GO_0035335,peptidyl-tyrosine dephosphorylation
XBP1,GO_0035356,intracellular triglyceride homeostasis
NR1H4,GO_0035356,intracellular triglyceride homeostasis
PPARG,GO_0035357,peroxisome proliferator activated receptor signaling pathway
RXRA,GO_0035357,peroxisome proliferator activated receptor signaling pathway
PPARA,GO_0035357,peroxisome proliferator activated receptor signaling pathway
IL6R,GO_0035425,autocrine signaling
IL6,GO_0035425,autocrine signaling
VDR,GO_0035435,phosphate ion transmembrane transport
XBP1,GO_0035470,positive regulation of vascular wound healing
SERPINE1,GO_0035491,positive regulation of leukotriene production involved in inflammatory response
CXCL8,GO_0035556,intracellular signal transduction
SRC,GO_0035556,intracellular signal transduction
DDIT3,GO_0035556,intracellular signal transduction
CASP3,GO_0035556,intracellular signal transduction
ADORA1,GO_0035589,G protein-coupled purinergic nucleotide receptor signaling pathway
CCL2,GO_0035684,helper T cell extravasation
HGF,GO_0035729,cellular response to hepatocyte growth factor stimulus
NR1H4,GO_0035774,positive regulation of insulin secretion involved in cellular response to glucose stimulus
PPARD,GO_0035774,positive regulation of insulin secretion involved in cellular response to glucose stimulus
ADORA2A,GO_0035810,positive regulation of urine volume
TNF,GO_0035900,response to isolation stress
TGFB1,GO_0035902,response to immobilization stress
FOS,GO_0035902,response to immobilization stress
CYP1A1,GO_0035902,response to immobilization stress
