trait,tlabel,n_genes
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ec30375b2447e0296df3,Rheumatoid arthritis,48
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ea2978edffb612e191ff,Vitamin D levels,48
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b9d0557331cc18fdb9bf,Triglyceride-to-HDL ratio,48
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9d95b07d7c685b232f7d,Fasting glucose adj BMI,47
https://purl.org/okn/frink/kg/digcfdekg/node/trait/71dbf97dae0ff3c9098c,Lymphocyte percentage,47
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c35d9d79cb217a64c1e2,Type 2 diabetes (recessive model),47
https://purl.org/okn/frink/kg/digcfdekg/node/trait/13f4b98431af18e10d9f,Asthma,47
http://www.orpha.net/ORDO/Orphanet_183731,Rare genetic gynecological and obstetrical diseases,47
http://www.orpha.net/ORDO/Orphanet_506210,Rare disorder potentially indicated for liver transplant,46
http://www.ebi.ac.uk/efo/EFO_0004340,Body mass index (BMI),46
https://purl.org/okn/frink/kg/digcfdekg/node/trait/27c4ddd3ab6f076ec4c6,Pollinosis,46
http://www.ebi.ac.uk/efo/EFO_0004509,Hemoglobin,46
https://purl.org/okn/frink/kg/digcfdekg/node/trait/bf42f951d17e806cc835,Random glucose adj fasting time,46
http://www.orpha.net/ORDO/Orphanet_68347,Tumor of hematopoietic and lymphoid tissues,46
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b9b1b73efaa3e48d0e98,Plateletcrit (PCT),46
http://purl.obolibrary.org/obo/MONDO_0005265,inflammatory bowel disease,46
https://purl.org/okn/frink/kg/digcfdekg/node/trait/449de16e8049af35333b,Coronary artery disease (CAD),46
http://www.orpha.net/ORDO/Orphanet_102369,Rare syndromic intellectual disability,45
http://www.ebi.ac.uk/efo/EFO_0010968,Phosphate,45
http://www.orpha.net/ORDO/Orphanet_93626,Rare renal disease,45
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d1ced41cff1fd11becce,Fasting glucose,45
http://www.orpha.net/ORDO/Orphanet_140162,Inherited cancer-predisposing syndrome,45
http://www.orpha.net/ORDO/Orphanet_68336,Rare genetic tumor,45
http://www.orpha.net/ORDO/Orphanet_101957,Pituitary deficiency,45
http://purl.obolibrary.org/obo/MONDO_0005301,Multiple sclerosis,45
http://purl.obolibrary.org/obo/PR_000005965,Cystatin C,45
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7d3429ec21cd80f1f54e,Alanine transaminase (ALT),45
https://purl.org/okn/frink/kg/digcfdekg/node/trait/23045e361646a598f2cd,Forced vital capacity (FVC),45
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9103e8ebee9fd8e723dc,HDL cholesterol,45
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c51b8240937ae2e2c7db,Height,45
https://purl.org/okn/frink/kg/digcfdekg/node/trait/6f7232454b3586359516,AST-ALT ratio,45
http://www.orpha.net/ORDO/Orphanet_181384,Rare hypothalamic or pituitary disease,45
http://www.ebi.ac.uk/efo/EFO_0004305,erythrocyte count,44
http://www.orpha.net/ORDO/Orphanet_97992,Rare hematologic disease,44
http://purl.obolibrary.org/obo/OBA_VT0001253,body height,44
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce80cfbec8277c7e4676,serum alanine aminotransferase measurement,44
https://purl.org/okn/frink/kg/digcfdekg/node/trait/62186a90c071613fa959,Total hip area,44
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0a512bc6a798aece6793,Nucleated red blood cell percentage,44
http://www.ebi.ac.uk/efo/EFO_0004833,Neutrophil count,44
http://www.orpha.net/ORDO/Orphanet_183763,Rare genetic syndromic intellectual disability,44
http://www.ebi.ac.uk/efo/EFO_0022983,Nucleated red blood cell count,44
http://www.orpha.net/ORDO/Orphanet_68341,Multiple congenital anomalies/dysmorphic syndrome,43
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e427891a668896a2ca2d,Type 2 diabetes with renal manifestations,43
https://purl.org/okn/frink/kg/digcfdekg/node/trait/45469583aed8a60594bc,White blood cell count,43
http://www.orpha.net/ORDO/Orphanet_87277,Rare intellectual disability,43
http://www.orpha.net/ORDO/Orphanet_399572,Rare male infertility due to hypothalamic-pituitary-gonadal axis disorder,43
http://www.orpha.net/ORDO/Orphanet_183757,Rare genetic intellectual disability,43
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ae85c14705a3dd83fed9,eGFRcys (serum cystatin C),43
https://purl.org/okn/frink/kg/digcfdekg/node/trait/2841a51fb1368b11c909,Basophil percentage,43
https://purl.org/okn/frink/kg/digcfdekg/node/trait/6e3d1f67139d79663537,Hematocrit percentage,43
http://www.ebi.ac.uk/efo/EFO_1002011,Adult-onset asthma,43
http://www.orpha.net/ORDO/Orphanet_182231,Rare rheumatologic disease,42
http://www.orpha.net/ORDO/Orphanet_183533,Genetic multiple congenital anomalies/dysmorphic syndrome,42
http://www.orpha.net/ORDO/Orphanet_93419,Rare bone disease,42
