chemical,disease,category,genes_ICE_x_rdkg,effect_domain,aop_curated,min_AC50_uM,key_genes,n_evidence_types,tier
BPAF,thyroid cancer,Thyroid/Endocrine,10,1,0,10.459,CCL2|CXCL10|CXCL8|HIF1A|IL6|PPARG|SLC5A5|TNF,2,B
TBBPA-DHEE,thyroid cancer,Thyroid/Endocrine,10,1,0,2.695,CCL2|CXCL10|CXCL8|HIF1A|IL6|PIK3CA|PPARG|TNF,2,B
"3,3-diMe-BPA",myocardial ischemia,Cardiovascular,9,1,0,7.0,CCL2|CD38|CXCL10|F3|IL1A|IL6|SELE|SELP,2,B
BPB,myocardial ischemia,Cardiovascular,9,1,0,10.0,CCL2|CCND1|CD38|CXCL10|HGF|HSPA1A|SELE|SELP,2,B
BPA,non-alcoholic steatohepatitis,Metabolic/Liver,9,1,0,0.722,AHR|COL3A1|CYP1A2|NFE2L2|NR1I2|PPARA|PPARD|SREBF1,2,B
BPA,obesity disorder,Metabolic,9,1,0,0.089,AHR|CD40|ESR1|NR1I2|NR1I3|PPARA|PPARD|PPARG,2,B
BPAF,type 2 diabetes mellitus,Metabolic,9,1,0,7.934,BCL2L11|CAT|PAX6|PPARA|PPARG|TGFB1|TIMP1|TNF,2,B
BPF,liver cancer,Cancer,9,1,0,2.087,AR|EGR1|ESR1|NFE2L2|PPARA|PPARG|RAD54L|SHH,2,B
BPF,prostate cancer,Hormone-dependent cancer,9,1,0,2.087,AR|EGR1|ESR1|ESR2|HIF1A|NFE2L2|PAX6|PPARA,2,B
TBBPA,endometrial carcinoma,Hormone-dependent cancer,9,1,0,4.0,CCL2|CCND1|CXCL8|ESR1|ESR2|MYC|NFE2L2|PGR,2,B
"3,3-diMe-BPA",thyroid cancer,Thyroid/Endocrine,9,1,0,5.257,CCL2|CXCL10|CXCL8|HIF1A|IL6|PIK3CA|PPARG|TP53,2,B
BPB,thyroid cancer,Thyroid/Endocrine,9,1,0,8.904,CCL2|CCND1|CXCL10|CXCL8|PPARG|PTEN|SLC5A5|TP53,2,B
BPB,brain ischemia,Cardiovascular,8,1,0,10.0,CCL2|CXCL10|EGR1|JUN|MMP9|PLAU|SELE|TP53,2,B
