DTXSID,abbr,chemLabel,assayName,entrez,ac50_uM,symbol
DTXSID4022442,BPB,Bisphenol B,BSK_BE3C_IP10_down,3627,39.9999999974246,CXCL10
DTXSID4022442,BPB,Bisphenol B,BSK_BE3C_MMP1_up,4312,39.9999999974246,MMP1
DTXSID4022442,BPB,Bisphenol B,BSK_BE3C_uPA_up,5328,10.0,PLAU
DTXSID4022442,BPB,Bisphenol B,BSK_CASM3C_Thrombomodulin_up,7056,39.9999999974246,THBD
DTXSID4022442,BPB,Bisphenol B,BSK_KF3CT_IP10_down,3627,39.9999999974246,CXCL10
DTXSID4022442,BPB,Bisphenol B,BSK_KF3CT_MMP9_down,4318,39.9999999974246,MMP9
DTXSID4022442,BPB,Bisphenol B,BSK_LPS_CD40_down,958,39.9999999974246,CD40
DTXSID4022442,BPB,Bisphenol B,BSK_LPS_MCSF_down,1435,39.9999999974246,CSF1
DTXSID4022442,BPB,Bisphenol B,BSK_LPS_PGE2_down,5732,39.9999999974246,PTGER2
DTXSID4022442,BPB,Bisphenol B,BSK_LPS_VCAM1_down,7412,39.9999999974246,VCAM1
DTXSID4022442,BPB,Bisphenol B,BSK_SAg_CD38_down,952,39.9999999974246,CD38
DTXSID4022442,BPB,Bisphenol B,BSK_SAg_CD40_down,958,39.9999999974246,CD40
DTXSID4022442,BPB,Bisphenol B,BSK_SAg_CD69_down,969,39.9999999974246,CD69
DTXSID4022442,BPB,Bisphenol B,BSK_SAg_Eselectin_down,6401,10.0,SELE
DTXSID4022442,BPB,Bisphenol B,BSK_SAg_IL8_down,3576,39.9999999974246,CXCL8
DTXSID4022442,BPB,Bisphenol B,BSK_SAg_MCP1_down,6347,39.9999999974246,CCL2
DTXSID4022442,BPB,Bisphenol B,BSK_hDFCGF_CollagenIII_down,1281,39.9999999974246,COL3A1
DTXSID4022442,BPB,Bisphenol B,BSK_hDFCGF_IP10_down,3627,39.9999999974246,CXCL10
DTXSID4022442,BPB,Bisphenol B,BSK_hDFCGF_VCAM1_down,7412,39.9999999974246,VCAM1
DTXSID4022442,BPB,Bisphenol B,CPHEA_Stoker_NIS_Inhibition_RAIU,6528,42.7351635235278,SLC5A5
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_ABCB11_dn,8647,83.2125596923409,ABCB11
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_ABCC3_dn,8714,31.3561374345398,ABCC3
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_ABCG2_dn,9429,91.3840051160278,ABCG2
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_ACOX1_dn,51,37.7549105010984,ACOX1
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_ADK_dn,132,40.1729412002676,ADK
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_CCND1_dn,595,89.0667205044354,CCND1
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_CFLAR_dn,8837,39.4731602208766,CFLAR
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_CYP1A2_dn,1544,84.0793729623628,CYP1A2
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_CYP4A11_dn,1579,91.7813095956346,CYP4A11
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_CYP7A1_dn,1581,69.5690139430072,CYP7A1
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_EZR_dn,7430,40.8614280077613,EZR
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_FASN_dn,2194,37.8425291730707,FASN
