mondo,dlabel,k,K,expected,fold,p,FDR
MONDO_0006176,cribriform carcinoma,18,116,2.210132158590308,8.144309348216066,5.029545933558747e-12,3.8895155219520975e-11
MONDO_0006402,salivary gland basal cell adenocarcinoma,18,116,2.210132158590308,8.144309348216066,5.029545933558747e-12,3.8895155219520975e-11
MONDO_0005606,tubular adenocarcinoma,18,116,2.210132158590308,8.144309348216066,5.029545933558747e-12,3.8895155219520975e-11
MONDO_0004970,adenocarcinoma,18,116,2.210132158590308,8.144309348216066,5.029545933558747e-12,3.8895155219520975e-11
MONDO_0003197,granular cell carcinoma,18,116,2.210132158590308,8.144309348216066,5.029545933558747e-12,3.8895155219520975e-11
MONDO_0045059,cribriform carcinoma of breast,18,116,2.210132158590308,8.144309348216066,5.029545933558747e-12,3.8895155219520975e-11
MONDO_0006757,extrahepatic cholestasis,11,32,0.6096916299559472,18.041907514450866,7.968305874980939e-12,5.963377299985736e-11
MONDO_0024327,chronic renal failure syndrome,13,52,0.9907488986784141,13.121387283236995,9.233788100025524e-12,6.49163284607855e-11
MONDO_0005300,chronic kidney disease,13,52,0.9907488986784141,13.121387283236995,9.233788100025524e-12,6.49163284607855e-11
MONDO_0018166,oral submucous fibrosis,9,18,0.34295154185022025,26.24277456647399,1.1276729778107427e-11,7.694709730943892e-11
MONDO_0003268,mixed glioma,16,94,1.7909691629955946,8.93371049071455,1.898662274255395e-11,1.2209984210789395e-10
MONDO_0004784,allergic asthma,15,80,1.524229074889868,9.841040462427745,1.9472819646517572e-11,1.2209984210789395e-10
MONDO_0004765,intrinsic asthma,15,80,1.524229074889868,9.841040462427745,1.9472819646517572e-11,1.2209984210789395e-10
MONDO_0005068,myocardial infarction (disease),16,95,1.8100220264317182,8.839671432917553,2.245857595281958e-11,1.3359973387318313e-10
MONDO_0006716,coronary thrombosis,16,95,1.8100220264317182,8.839671432917553,2.245857595281958e-11,1.3359973387318313e-10
MONDO_0005032,follicular thyroid adenoma,14,68,1.2955947136563877,10.805848350901053,2.469294258940557e-11,1.432190670185523e-10
MONDO_0012048,endogenous depression,26,292,5.563436123348017,4.673370813207697,3.899182863955274e-11,2.2063668888722524e-10
MONDO_0006658,arteriolosclerosis,13,59,1.1241189427312774,11.564612520819047,5.2422214128762724e-11,2.895703256636417e-10
MONDO_0005379,neurotic disorder,26,299,5.696806167400881,4.56396079416939,6.63000557629518e-11,3.577119287675539e-10
MONDO_0004979,asthma,15,87,1.6575991189427313,9.049232609128962,6.881032961662057e-11,3.6281810161490844e-10
MONDO_0001442,dysthymic disorder,25,290,5.525330396475771,4.524616304564481,1.9326118592395112e-10,9.963687807634812e-10
MONDO_0008903,lung cancer,35,556,10.593392070484581,3.3039464382251427,2.2111185749525405e-10,1.0825706149849222e-09
MONDO_0001751,cholestasis,16,110,2.095814977973568,7.63426169206516,2.2181989575076061e-10,1.0825706149849222e-09
MONDO_0016267,undifferentiated carcinoma of the corpus uteri,51,1074,20.462775330396475,2.492330545419317,2.37978885190651e-10,1.0825706149849222e-09
MONDO_0016266,squamous cell carcinoma of the corpus uteri,51,1074,20.462775330396475,2.492330545419317,2.37978885190651e-10,1.0825706149849222e-09
MONDO_0007254,breast cancer,51,1074,20.462775330396475,2.492330545419317,2.37978885190651e-10,1.0825706149849222e-09
MONDO_0021100,breast neoplasm,51,1074,20.462775330396475,2.492330545419317,2.37978885190651e-10,1.0825706149849222e-09
MONDO_0011751,"COPD, severe early onset",10,33,0.6287444933920705,15.904711858469083,3.0805192951579923e-10,1.3484537292012344e-09
MONDO_0005002,chronic obstructive pulmonary disease,10,33,0.6287444933920705,15.904711858469083,3.0805192951579923e-10,1.3484537292012344e-09
MONDO_0016419,hereditary breast carcinoma,51,1085,20.672356828193834,2.4670626781385683,3.4393033013453833e-10,1.4776266035409796e-09
MONDO_0005016,diabetic nephropathy,12,56,1.0669603524229074,11.24690338563171,4.210775027406701e-10,1.7761814661060993e-09
MONDO_0005359,drug-induced liver injury,29,404,7.697356828193833,3.767527041721513,4.82168665473292e-10,1.997555899817924e-09
